SubNo,TrialNo,Mapping,State,Resp,Acc,Reward,Balance,ReactionTime,UncerCond,RewardedOrNot
1,133,0,0,1,0,0,700,783,SU,0
1,134,0,1,0,0,0,700,1133,SU,0
1,135,0,0,1,0,0,700,2350,SU,0
1,136,0,1,0,0,0,700,950,SU,0
1,137,0,0,1,0,0,700,1117,SU,0
1,138,0,0,0,1,10,710,866,SU,1
1,139,0,1,1,1,10,720,1083,SU,1
1,140,0,1,0,0,0,720,1083,SU,0
1,141,0,0,0,1,10,730,1650,SU,1
1,142,0,1,0,0,0,730,1533,SU,0
1,143,0,1,1,1,10,740,733,SU,1
1,144,0,0,1,0,0,740,983,SU,0
1,145,0,0,1,0,0,740,850,SU,0
1,146,0,0,0,1,10,750,933,SU,1
1,147,0,0,0,1,10,760,716,SU,1
1,148,0,1,0,0,0,760,700,SU,0
1,149,0,1,1,1,10,770,850,SU,1
1,150,0,1,0,0,0,770,1383,SU,0
1,151,0,1,1,1,10,780,1650,SU,1
1,152,0,0,1,0,0,780,1783,SU,0
1,153,0,1,0,0,0,780,1416,SU,0
1,154,0,1,1,1,10,790,1367,SU,1
1,155,0,1,1,1,10,800,1000,SU,1
1,156,0,1,1,1,10,810,966,SU,1
1,157,0,1,1,1,10,820,1833,SU,1
1,158,0,1,0,0,0,820,1233,SU,0
1,159,0,0,1,0,0,820,1083,SU,0
1,160,0,0,1,0,0,820,1066,SU,0
1,161,0,1,0,0,0,820,900,SU,0
1,162,0,0,1,0,0,820,966,SU,0
1,163,0,1,1,1,10,830,1716,SU,1
1,164,0,1,0,0,0,830,966,SU,0
1,165,0,1,1,1,10,840,1283,SU,1
1,166,0,1,0,0,0,840,1533,SU,0
1,167,0,0,0,1,10,850,883,SU,1
1,168,0,0,1,0,0,850,1583,SU,0
1,169,0,0,0,1,10,860,1300,SU,1
1,170,0,0,1,0,0,860,817,SU,0
1,171,0,0,1,0,0,860,700,SU,0
1,172,0,1,0,0,0,860,1000,SU,0
1,173,0,0,0,1,10,870,1133,SU,1
1,174,0,1,0,0,0,870,1916,SU,0
1,175,0,0,1,0,0,870,1916,SU,0
1,176,0,1,0,0,0,870,1616,SU,0
1,177,0,0,1,0,0,870,1783,SU,0
1,178,0,0,1,0,0,870,1333,SU,0
1,179,0,0,1,0,0,870,1550,SU,0
1,180,0,0,0,1,10,880,1633,SU,1
1,181,0,0,1,0,0,880,2316,SU,0
1,182,0,0,0,1,10,890,1633,SU,1
1,183,0,1,0,0,0,890,1200,SU,0
1,184,0,1,0,0,0,890,1300,SU,0
1,185,0,0,0,1,10,900,1533,SU,1
1,186,0,0,0,1,10,910,2216,SU,1
1,187,0,0,1,0,0,910,1516,SU,0
1,188,0,0,1,0,0,910,850,SU,0
1,189,0,0,0,1,10,920,1133,SU,1
1,190,0,0,1,0,0,920,1066,SU,0
1,191,0,0,0,1,10,930,683,SU,1
1,192,0,0,1,0,0,930,1366,SU,0
1,193,0,1,0,0,0,930,1200,SU,0
1,194,0,1,1,1,10,940,750,SU,1
1,195,0,1,0,0,0,940,883,SU,0
1,196,0,1,1,1,10,950,650,SU,1
1,197,0,1,1,1,10,960,866,SU,1
1,198,0,0,1,0,0,960,800,SU,0
1,199,0,1,0,0,0,960,716,SU,0
1,200,0,1,0,0,0,960,1433,SU,0
2,1,1,1,0,0,0,0,2450,SU,0
2,2,1,0,0,1,10,10,1116,SU,1
2,3,1,0,0,1,10,20,1016,SU,1
2,4,1,0,0,1,10,30,833,SU,1
2,5,1,0,0,1,10,40,700,SU,1
2,6,1,1,0,0,0,40,766,SU,0
2,7,1,1,1,1,10,50,1116,SU,1
2,8,1,1,0,0,0,50,1116,SU,0
2,9,1,0,1,0,0,50,1100,SU,0
2,10,1,1,0,0,0,50,1016,SU,0
2,11,1,0,0,1,10,60,1300,SU,1
2,12,1,0,0,1,10,70,1016,SU,1
2,13,1,1,0,0,0,70,900,SU,0
2,14,1,0,0,1,10,80,633,SU,1
2,15,1,1,1,1,10,90,1100,SU,1
2,16,1,1,0,0,0,90,933,SU,0
2,17,1,1,1,1,10,100,950,SU,1
2,18,1,1,0,0,0,100,750,SU,0
2,19,1,0,0,1,10,110,916,SU,1
2,20,1,0,0,1,10,120,1383,SU,1
2,21,1,0,1,0,0,120,1650,SU,0
2,22,1,0,0,1,10,130,966,SU,1
2,23,1,1,1,1,10,140,1100,SU,1
2,24,1,1,0,0,0,140,916,SU,0
2,25,1,1,1,1,10,150,1100,SU,1
2,26,1,0,0,1,10,160,866,SU,1
2,27,1,0,0,1,10,170,950,SU,1
2,28,1,1,1,1,10,180,983,SU,1
2,29,1,1,1,1,10,190,1366,SU,1
2,30,1,1,1,1,10,200,766,SU,1
2,31,1,1,0,0,0,200,1000,SU,0
2,32,1,0,0,1,10,210,800,SU,1
2,33,1,1,1,1,10,220,1083,SU,1
2,34,1,0,0,1,10,230,1150,SU,1
2,35,1,1,1,1,10,240,700,SU,1
2,36,1,0,1,0,0,240,2916,SU,0
2,37,1,0,0,1,10,250,1716,SU,1
2,38,1,1,1,1,10,260,900,SU,1
2,39,1,0,1,0,0,260,3650,SU,0
2,40,1,1,0,0,0,260,900,SU,0
2,41,1,1,0,0,0,260,1016,SU,0
2,42,1,0,1,0,0,260,700,SU,0
2,43,1,1,0,0,0,260,1033,SU,0
2,44,1,1,1,1,10,270,1200,SU,1
2,45,1,0,1,0,0,270,1233,SU,0
2,46,1,1,0,0,0,270,1016,SU,0
2,47,1,0,1,0,0,270,900,SU,0
2,48,1,1,1,1,10,280,1450,SU,1
2,49,1,0,0,1,10,290,666,SU,1
2,50,1,1,1,1,10,300,1033,SU,1
2,51,1,0,0,1,10,310,1183,SU,1
2,52,1,0,1,0,0,310,933,SU,0
2,53,1,0,1,0,0,310,1300,SU,0
2,54,1,1,1,1,10,320,2166,SU,1
2,55,1,0,1,0,0,320,766,SU,0
2,56,1,0,0,1,10,330,1016,SU,1
2,57,1,1,1,1,10,340,733,SU,1
2,58,1,0,1,0,0,340,1616,SU,0
2,59,1,0,0,1,10,350,633,SU,1
2,60,1,0,1,0,0,350,1983,SU,0
2,61,1,0,0,1,10,360,1000,SU,1
2,62,1,0,1,0,0,360,950,SU,0
2,63,1,0,0,1,10,370,1216,SU,1
2,64,1,0,0,1,10,380,700,SU,1
2,65,1,0,0,1,10,390,766,SU,1
2,66,1,1,1,1,10,400,1033,SU,1
2,67,1,0,0,1,10,410,1183,SU,1
2,68,1,1,0,0,0,410,1083,SU,0
2,69,1,1,1,1,10,420,1266,SU,1
2,70,1,1,0,0,0,420,1300,SU,0
2,71,1,0,0,1,10,430,1783,SU,1
2,72,1,1,1,1,10,440,933,SU,1
