SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
8 1 1 0.4832 0 0 1 10 10 1250
8 2 1 0.5166 1 1 1 10 20 1816
8 3 1 0.4832 0 1 0 0 20 1383
8 4 1 0.5166 1 0 0 0 20 2933
8 5 1 0.5166 1 0 0 0 20 1783
8 6 1 0.5166 1 1 1 10 30 550
8 7 1 0.5166 1 1 1 10 40 2883
8 8 1 0.4832 0 1 0 0 40 1050
8 9 1 0.5166 1 1 1 10 50 2700
8 10 1 0.5166 1 1 1 10 60 2366
8 11 1 0.5166 1 1 1 10 70 1083
8 12 1 0.5166 1 1 1 10 80 800
8 13 1 0.4832 0 1 0 0 80 1016
8 14 1 0.4832 0 1 0 0 80 1166
8 15 1 0.4832 0 0 1 10 90 750
8 16 1 0.4832 0 0 1 10 100 850
8 17 1 0.5166 1 0 0 0 100 1466
8 18 1 0.5166 1 0 0 0 100 1600
8 19 1 0.4832 0 1 0 0 100 750
8 20 1 0.4832 0 1 0 0 100 1900
8 21 1 0.4832 0 1 0 0 100 1750
8 22 1 0.4832 0 0 1 10 110 733
8 23 1 0.5166 1 1 1 10 120 1483
8 24 1 0.5166 1 0 0 0 120 2250
8 25 1 0.5166 1 1 1 10 130 566
8 26 1 0.4832 0 1 0 0 130 666
8 27 1 0.4832 0 1 0 0 130 1133
8 28 1 0.5166 1 1 1 10 140 1850
8 29 1 0.5166 1 1 1 10 150 1066
8 30 1 0.5166 1 1 1 10 160 1950
8 31 1 0.4832 0 0 1 10 170 1916
8 32 1 0.4832 0 0 1 10 180 1600
8 33 1 0.4832 0 0 1 10 190 550
8 34 1 0.5166 1 1 1 10 200 1533
8 35 1 0.5166 1 1 1 10 210 766
8 36 1 0.4832 0 0 1 10 220 1316
8 37 1 0.5166 1 0 0 0 220 633
8 38 1 0.4832 0 1 0 0 220 1983
8 39 1 0.5166 1 1 1 10 230 1550
8 40 1 0.4832 0 0 1 10 240 716
8 41 1 0.5166 1 1 1 10 250 1516
8 42 1 0.5166 1 1 1 10 260 1433
8 43 1 0.5166 1 1 1 10 270 883
8 44 1 0.4832 0 1 0 0 270 3533
8 45 1 0.5166 1 1 1 10 280 3850
8 46 1 0.5166 1 1 1 10 290 800
8 47 1 0.5166 1 1 1 10 300 1800
8 48 1 0.4832 0 0 1 10 310 566
8 49 1 0.4832 0 0 1 10 320 850
8 50 1 0.5166 1 0 0 0 320 2800
8 51 1 0.5166 1 0 0 0 320 1150
8 52 1 0.4832 0 1 0 0 320 716
8 53 1 0.5166 1 1 1 10 330 1600
8 54 1 0.4832 0 0 1 10 340 1566
8 55 1 0.4832 0 0 1 10 350 1750
8 56 1 0.4832 0 0 1 10 360 983
8 57 1 0.5166 1 1 1 10 370 800
8 58 1 0.4832 0 0 1 10 380 1250
8 59 1 0.5166 1 1 1 10 390 1450
8 60 1 0.4832 0 0 1 10 400 2366
8 61 1 0.5166 1 0 0 0 400 1150
8 62 1 0.4832 0 1 0 0 400 1166
8 63 1 0.5166 1 1 1 10 410 983
8 64 1 0.4832 0 1 0 0 410 1600
8 65 1 0.4832 0 0 1 10 420 1100
8 66 1 0.4832 0 0 1 10 430 700
8 67 1 0.4832 0 0 1 10 440 766
8 68 1 0.4832 0 0 1 10 450 2116
8 69 1 0.4832 0 1 0 0 450 533
8 70 1 0.4832 0 1 0 0 450 1550
8 71 1 0.4832 0 0 1 10 460 883
8 72 1 0.4832 0 0 1 10 470 983
8 73 1 0.4832 0 0 1 10 480 1150
8 74 1 0.4832 0 0 1 10 490 566
8 75 1 0.4832 0 0 1 10 500 733
8 76 1 0.5166 1 0 0 0 500 633
8 77 1 0.5166 1 1 1 10 510 2550
8 78 1 0.4832 0 1 0 0 510 1250
8 79 1 0.5166 1 1 1 10 520 2200
8 80 1 0.4832 0 1 0 0 520 1366
8 81 1 0.5166 1 0 0 0 520 1916
8 82 1 0.5166 1 1 1 10 530 750
8 83 1 0.4832 0 1 0 0 530 983
8 84 1 0.5166 1 1 1 10 540 3333
8 85 1 0.5166 1 1 1 10 550 1433
8 86 1 0.5166 1 1 1 10 560 966
8 87 1 0.4832 0 1 0 0 560 1150
8 88 1 0.4832 0 0 1 10 570 866
8 89 1 0.4832 0 0 1 10 580 750
8 90 1 0.5166 1 0 0 0 580 1166
8 91 1 0.4832 0 0 1 10 590 650
