SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
18 1 1 0 1 0 0 0 2612
18 2 1 0 0 1 10 10 1733
18 3 1 1 1 1 10 20 1933
18 4 1 0 0 1 10 30 2049
18 5 1 0 0 1 10 40 1114
18 6 1 1 0 0 0 40 1600
18 7 1 0 0 1 10 50 1733
18 8 1 0 0 1 0 50 3166
18 9 1 1 0 0 0 50 4650
18 10 1 1 1 1 10 60 2033
18 11 1 1 0 0 10 70 2033
18 12 1 1 1 1 0 70 2350
18 13 1 0 0 1 0 70 1966
18 14 1 0 1 0 10 80 2000
18 15 1 0 1 0 0 80 950
18 16 1 0 1 0 0 80 6466
18 17 1 0 0 1 10 90 700
18 18 1 0 0 1 10 100 3383
18 19 1 0 0 1 10 110 1266
18 20 1 1 1 1 0 110 3016
18 21 1 0 0 1 0 110 800
18 22 1 0 1 0 0 110 783
18 23 1 1 0 0 0 110 2749
18 24 1 1 1 1 10 120 766
18 25 1 0 1 0 0 120 1250
18 26 1 0 0 1 0 120 783
18 27 1 0 1 0 0 120 2150
18 28 1 0 0 1 10 130 4567
18 29 1 1 0 0 0 130 1500
18 30 1 1 1 1 10 140 1433
18 31 1 1 1 1 10 150 2600
18 32 1 0 0 1 10 160 1483
18 33 1 1 1 1 0 160 1533
18 34 1 1 0 0 0 160 2933
18 35 1 1 1 1 0 160 2983
18 36 1 1 0 0 0 160 1167
18 37 1 0 1 0 10 170 1683
18 38 1 1 1 1 10 180 3249
18 39 1 0 0 1 10 190 1483
18 40 1 0 0 1 10 200 1550
18 41 1 0 0 1 10 210 1566
18 42 1 0 0 1 0 210 2083
18 43 1 1 1 1 0 210 1783
18 44 1 1 0 0 10 220 2367
18 45 1 0 0 1 10 230 2100
18 46 1 1 0 0 10 240 2250
18 47 1 1 0 0 0 240 1616
18 48 1 0 0 1 0 240 1700
18 49 1 1 1 1 10 250 1266
18 50 1 1 1 1 10 260 816
18 51 1 1 1 1 10 270 1133
18 52 1 1 1 1 0 270 1283
18 53 1 0 0 1 10 280 2200
18 54 1 0 0 1 10 290 1583
18 55 1 1 0 0 10 300 3000
18 56 1 0 0 1 10 310 1500
18 57 1 0 0 1 10 320 1400
18 58 1 1 0 0 0 320 1116
18 59 1 1 1 1 0 320 1150
18 60 1 0 1 0 0 320 3617
18 61 1 0 0 1 10 330 950
18 62 1 1 1 1 10 340 1583
18 63 1 1 0 0 10 350 2250
18 64 1 1 1 1 10 360 2333
18 65 1 0 0 1 10 370 1716
18 66 1 0 0 1 10 380 1150
18 67 1 0 0 1 10 390 1566
18 68 1 1 0 0 0 390 1266
18 69 1 1 1 1 0 390 1216
18 70 1 0 0 1 10 400 1117
18 71 1 1 1 1 0 400 1066
18 72 1 1 1 1 10 410 933
18 73 1 0 0 1 0 410 1850
18 74 1 1 0 0 10 420 3800
18 75 1 1 0 0 0 420 883
18 76 1 0 0 1 10 430 866
18 77 1 1 1 1 10 440 1800
18 78 1 0 0 1 10 450 2083
18 79 1 1 1 1 10 460 1616
18 80 1 1 1 1 10 470 2250
18 81 1 1 0 0 0 470 2367
18 82 1 0 0 1 0 470 1333
18 83 1 1 1 1 0 470 2966
18 84 1 0 0 1 0 470 1100
