SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
17 1 1 0 0 1 0 0 2300
17 2 1 0 0 1 10 10 2300
17 3 1 0 1 0 0 10 2083
17 4 1 0 0 1 10 20 1516
17 5 1 1 0 0 0 20 1300
17 6 1 0 0 1 10 30 1650
17 7 1 1 1 1 10 40 783
17 8 1 1 0 0 0 40 1433
17 9 1 1 1 1 10 50 633
17 10 1 1 1 1 10 60 883
17 11 1 1 1 1 0 60 983
17 12 1 1 1 1 0 60 733
17 13 1 0 0 1 10 70 716
17 14 1 0 0 1 0 70 983
17 15 1 0 0 1 10 80 1283
17 16 1 1 1 1 10 90 1183
17 17 1 1 1 1 10 100 833
17 18 1 0 0 1 0 100 716
17 19 1 1 0 0 0 100 966
17 20 1 0 0 1 10 110 633
17 21 1 1 0 0 0 110 1533
17 22 1 1 1 1 10 120 1166
17 23 1 0 0 1 10 130 866
17 24 1 1 0 0 10 140 1483
17 25 1 1 0 0 10 150 1700
17 26 1 1 1 1 10 160 800
17 27 1 1 1 1 10 170 1450
17 28 1 1 1 1 0 170 816
17 29 1 1 1 1 10 180 816
17 30 1 1 1 1 10 190 650
17 31 1 0 0 1 0 190 666
17 32 1 0 1 0 10 200 583
17 33 1 0 1 0 0 200 683
17 34 1 0 0 1 10 210 916
17 35 1 1 1 1 10 220 683
17 36 1 1 1 1 0 220 1833
17 37 1 0 0 1 10 230 833
17 38 1 1 0 0 10 240 750
17 39 1 1 0 0 0 240 883
17 40 1 1 0 0 10 250 783
17 41 1 0 1 0 0 250 666
17 42 1 0 0 1 0 250 883
17 43 1 1 0 0 0 250 833
17 44 1 1 1 1 10 260 900
17 45 1 0 0 1 10 270 1116
17 46 1 0 0 1 10 280 916
17 47 1 0 0 1 10 290 700
17 48 1 1 0 0 0 290 816
17 49 1 0 0 1 10 300 750
17 50 1 1 1 1 10 310 1216
17 51 1 1 1 1 0 310 733
17 52 1 0 1 0 0 310 633
17 53 1 0 0 1 10 320 616
17 54 1 0 1 0 0 320 700
17 55 1 1 1 1 0 320 716
17 56 1 0 1 0 10 330 633
17 57 1 1 0 0 0 330 900
17 58 1 0 1 0 10 340 716
17 59 1 0 1 0 10 350 733
17 60 1 0 0 1 10 360 600
17 61 1 1 0 0 10 370 683
17 62 1 0 0 1 0 370 766
17 63 1 0 0 1 10 380 666
17 64 1 0 0 1 10 390 1033
17 65 1 0 1 0 0 390 1033
17 66 1 1 0 0 0 390 616
17 67 1 0 1 0 0 390 700
17 68 1 1 0 0 0 390 666
17 69 1 0 0 1 10 400 816
17 70 1 0 0 1 10 410 1116
17 71 1 0 1 0 0 410 1016
17 72 1 0 1 0 0 410 650
17 73 1 1 0 0 10 420 800
17 74 1 1 0 0 10 430 1166
17 75 1 1 1 1 0 430 1033
17 76 1 0 0 1 10 440 900
17 77 1 0 1 0 0 440 1100
17 78 1 1 1 1 0 440 650
17 79 1 0 0 1 0 440 716
17 80 1 1 1 1 10 450 700
17 81 1 0 1 0 0 450 900
17 82 1 0 0 1 10 460 583
17 83 1 1 1 1 0 460 816
17 84 1 0 1 0 0 460 783
17 85 1 1 1 1 10 470 633
17 86 1 0 0 1 10 480 916
17 87 1 1 0 0 0 480 2233
17 88 1 1 1 1 10 490 1000
17 89 1 1 0 0 10 500 1000
17 90 1 0 1 0 0 500 783
17 91 1 0 0 1 10 510 1333
17 92 1 1 0 0 10 520 1816
17 93 1 1 0 0 0 520 983
17 94 1 1 0 0 0 520 766
17 95 1 1 0 0 0 520 733
17 96 1 0 1 0 0 520 666
17 97 1 0 1 0 10 530 700
17 98 1 1 1 1 10 540 1300
17 99 1 1 1 1 0 540 683
17 100 1 0 1 0 0 540 783
17 101 0 0 0 1 10 550 733
17 102 0 0 0 1 0 550 700
17 103 0 0 0 1 10 560 683
17 104 0 1 1 1 10 570 766
17 105 0 1 1 1 0 570 2133
17 106 0 0 0 1 0 570 700
17 107 0 0 0 1 0 570 516
17 108 0 1 0 0 0 570 850
17 109 0 1 1 1 0 570 683
17 110 0 0 0 1 10 580 683
17 111 0 0 0 1 10 590 800
17 112 0 0 1 0 10 600 800
17 113 0 0 1 0 0 600 1016
17 114 0 1 0 0 0 600 950
17 115 0 1 0 0 0 600 816
17 116 0 0 0 1 0 600 1033
17 117 0 0 1 0 0 600 533
17 118 0 0 0 1 10 610 1150
17 119 0 0 0 1 0 610 1416
17 120 0 0 1 0 10 620 650
17 121 0 0 1 0 0 620 900
17 122 0 0 0 1 10 630 816
17 123 0 0 1 0 0 630 2566
17 124 0 0 0 1 10 640 600
17 125 0 0 1 0 0 640 683
17 126 0 1 1 1 10 650 966
17 127 0 1 1 1 10 660 883
17 128 0 0 0 1 0 660 2600
17 129 0 1 1 1 10 670 1517
17 130 0 1 1 1 10 680 783
17 131 0 0 0 1 10 690 716
17 132 0 1 1 1 10 700 750
17 133 0 0 1 0 0 700 833
17 134 0 0 0 1 10 710 800
17 135 0 0 1 0 0 710 900
17 136 0 1 1 1 10 720 833
17 137 0 0 0 1 10 730 1150
17 138 0 0 1 0 0 730 766
17 139 0 0 0 1 10 740 1533
17 140 0 1 1 1 0 740 850
17 141 0 1 0 0 0 740 966
17 142 0 1 1 1 0 740 1966
17 143 0 0 0 1 0 740 1133
17 144 0 1 0 0 10 750 816
17 145 0 1 1 1 10 760 800
17 146 0 1 1 1 10 770 816
17 147 0 1 0 0 0 770 650
17 148 0 1 0 0 10 780 516
17 149 0 1 0 0 10 790 1033
17 150 0 1 0 0 10 800 867
17 151 0 1 0 0 0 800 816
17 152 0 1 1 1 10 810 700
17 153 0 0 0 1 10 820 883
17 154 0 1 0 0 0 820 900
17 155 0 0 0 1 0 820 716
17 156 0 1 1 1 10 830 533
17 157 0 0 1 0 10 840 866
17 158 0 0 1 0 10 850 750
17 159 0 0 0 1 10 860 666
17 160 0 1 1 1 10 870 600
17 161 0 1 1 1 10 880 616
17 162 0 0 0 1 0 880 916
17 163 0 1 1 1 0 880 750
17 164 0 0 0 1 10 890 533
17 165 0 0 1 0 10 900 700
17 166 0 0 0 1 10 910 1100
17 167 0 0 0 1 10 920 750
17 168 0 0 1 0 0 920 883
17 169 0 1 0 0 0 920 650
17 170 0 0 0 1 10 930 583
17 171 0 1 1 1 10 940 766
17 172 0 1 1 1 10 950 616
17 173 0 1 0 0 0 950 950
17 174 0 1 1 1 10 960 650
17 175 0 1 0 0 10 970 933
17 176 0 1 1 1 0 970 1100
17 177 0 0 0 1 10 980 933
17 178 0 0 1 0 0 980 900
17 179 0 1 1 1 0 980 1700
17 180 0 0 1 0 0 980 616
17 181 0 0 0 1 0 980 716
17 182 0 1 0 0 10 990 1066
17 183 0 1 1 1 0 990 1000
17 184 0 0 1 0 0 990 1183
17 185 0 0 0 1 10 1000 950
17 186 0 0 0 1 0 1000 800
17 187 0 1 0 0 10 1010 866
17 188 0 0 1 0 10 1020 683
17 189 0 1 0 0 0 1020 666
17 190 0 1 0 0 0 1020 1000
17 191 0 1 0 0 0 1020 616
17 192 0 1 1 1 0 1020 500
17 193 0 1 0 0 0 1020 1016
17 194 0 0 0 1 10 1030 766
17 195 0 0 0 1 10 1040 1666
17 196 0 1 0 0 10 1050 750
17 197 0 1 1 1 10 1060 1150
17 198 0 1 0 0 0 1060 633
17 199 0 1 0 0 0 1060 616
17 200 0 1 1 1 10 1070 800
