SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
12 1 1 0 0 1 0 0 1844
12 2 1 1 0 0 0 0 782
12 3 1 1 1 1 10 10 1450
12 4 1 0 1 0 0 10 1016
12 5 1 0 0 1 10 20 1044
12 6 1 1 0 0 0 20 1500
12 7 1 0 0 1 10 30 1083
12 8 1 0 0 1 10 40 1016
12 9 1 0 0 1 0 40 716
12 10 1 1 1 1 0 40 966
12 11 1 1 0 0 0 40 1083
12 12 1 1 1 1 10 50 716
12 13 1 0 1 0 0 50 700
12 14 1 1 0 0 10 60 1116
12 15 1 0 1 0 0 60 966
12 16 1 0 0 1 10 70 1083
12 17 1 0 0 1 10 80 650
12 18 1 1 0 0 0 80 1200
12 19 1 0 0 1 10 90 733
12 20 1 0 0 1 0 90 733
12 21 1 1 1 1 0 90 1500
12 22 1 0 1 0 0 90 983
12 23 1 1 0 0 0 90 833
12 24 1 0 0 1 0 90 1533
12 25 1 0 1 0 0 90 950
12 26 1 1 1 1 0 90 1666
12 27 1 0 1 0 0 90 717
12 28 1 1 0 0 10 100 700
12 29 1 1 0 0 0 100 900
12 30 1 0 0 1 10 110 716
12 31 1 0 0 1 10 120 650
12 32 1 1 1 1 10 130 783
12 33 1 1 1 1 0 130 633
12 34 1 0 0 1 10 140 1733
12 35 1 1 0 0 0 140 783
12 36 1 1 1 1 0 140 633
12 37 1 1 0 0 0 140 833
12 38 1 1 1 1 10 150 866
12 39 1 1 1 1 0 150 1650
12 40 1 0 0 1 10 160 983
12 41 1 1 0 0 10 170 666
12 42 1 1 0 0 10 180 816
12 43 1 1 0 0 10 190 700
12 44 1 1 0 0 0 190 1600
12 45 1 0 0 1 10 200 1566
12 46 1 1 1 1 10 210 683
12 47 1 1 1 1 0 210 800
12 48 1 1 0 0 10 220 667
12 49 1 0 0 1 0 220 1683
12 50 1 0 1 0 0 220 683
12 51 1 1 0 0 0 220 733
12 52 1 1 1 1 10 230 783
12 53 1 1 1 1 10 240 983
12 54 1 0 0 1 10 250 750
12 55 1 1 1 1 10 260 766
12 56 1 0 0 1 10 270 633
12 57 1 1 1 1 10 280 733
12 58 1 1 1 1 10 290 783
12 59 1 0 0 1 10 300 1166
12 60 1 0 0 1 10 310 666
12 61 1 1 1 1 10 320 750
12 62 1 0 0 1 10 330 516
12 63 1 0 0 1 10 340 700
12 64 1 1 1 1 10 350 766
12 65 1 0 0 1 10 360 750
12 66 1 0 0 1 10 370 800
12 67 1 0 0 1 10 380 616
12 68 1 1 1 1 10 390 583
12 69 1 1 1 1 10 400 750
12 70 1 1 1 1 0 400 716
12 71 1 1 0 0 0 400 833
12 72 1 0 0 1 0 400 783
12 73 1 0 1 0 10 410 566
12 74 1 0 1 0 0 410 666
12 75 1 0 0 1 10 420 816
12 76 1 0 0 1 10 430 683
12 77 1 1 1 1 0 430 750
12 78 1 0 0 1 10 440 716
12 79 1 1 0 0 0 440 800
12 80 1 1 1 1 10 450 983
12 81 1 0 0 1 0 450 983
12 82 1 1 0 0 0 450 1116
12 83 1 0 1 0 0 450 566
12 84 1 0 0 1 10 460 600
12 85 1 1 1 1 10 470 700
12 86 1 0 0 1 0 470 933
12 87 1 0 1 0 0 470 1350
12 88 1 0 0 1 10 480 916
12 89 1 0 0 1 10 490 716
12 90 1 1 1 1 0 490 633
12 91 1 1 0 0 0 490 500
12 92 1 0 0 1 10 500 1166
12 93 1 0 0 1 10 510 666
12 94 1 1 1 1 10 520 716
12 95 1 0 0 1 10 530 700
12 96 1 0 0 1 0 530 900
12 97 1 1 1 1 10 540 583
12 98 1 0 1 0 0 540 816
12 99 1 1 1 1 10 550 833
12 100 1 1 1 1 10 560 816
12 101 0 0 1 0 0 560 900
12 102 0 0 1 0 0 560 1100
12 103 0 1 1 1 10 570 1100
12 104 0 0 0 1 10 580 750
