SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
18 1 1 0.4545 0 0 1 10 10 816
18 2 1 0.4545 0 0 1 10 20 750
18 3 1 0.4545 0 0 1 10 30 1000
18 4 1 0.4545 0 0 1 10 40 716
18 5 1 0.4545 0 0 1 10 50 933
18 6 1 0.5142 1 1 1 10 60 1116
18 7 1 0.4545 0 0 1 10 70 666
18 8 1 0.5142 1 0 0 0 70 833
18 9 1 0.5142 1 1 1 10 80 1000
18 10 1 0.4545 0 0 1 10 90 666
18 11 1 0.4545 0 1 0 0 90 883
18 12 1 0.4545 0 0 1 10 100 1083
18 13 1 0.4545 0 0 1 10 110 1216
18 14 1 0.5142 1 1 1 10 120 933
18 15 1 0.5142 1 1 1 10 130 1350
18 16 1 0.4545 0 0 1 10 140 1066
18 17 1 0.4545 0 0 1 10 150 1150
18 18 1 0.4545 0 0 1 10 160 1033
18 19 1 0.5142 1 1 1 10 170 1150
18 20 1 0.5142 1 1 1 10 180 750
18 21 1 0.5142 1 1 1 10 190 833
18 22 1 0.4545 0 0 1 10 200 883
18 23 1 0.5142 1 1 1 10 210 983
18 24 1 0.5142 1 1 1 10 220 1050
18 25 1 0.5142 1 1 1 10 230 1033
18 26 1 0.5142 1 0 0 0 230 650
18 27 1 0.5142 1 1 1 10 240 633
18 28 1 0.4545 0 0 1 10 250 683
18 29 1 0.4545 0 0 1 10 260 583
18 30 1 0.4545 0 1 0 0 260 1516
18 31 1 0.4545 0 0 1 10 270 600
18 32 1 0.5142 1 1 1 10 280 816
18 33 1 0.4545 0 0 1 10 290 3533
18 34 1 0.4545 0 1 0 0 290 733
18 35 1 0.4545 0 0 1 10 300 750
18 36 1 0.4545 0 0 1 10 310 533
18 37 1 0.5142 1 1 1 10 320 683
18 38 1 0.5142 1 1 1 10 330 850
18 39 1 0.5142 1 1 1 10 340 733
18 40 1 0.4545 0 0 1 10 350 633
18 41 1 0.5142 1 0 0 0 350 633
18 42 1 0.4545 0 0 1 10 360 716
18 43 1 0.5142 1 1 1 10 370 533
18 44 1 0.5142 1 1 1 10 380 616
18 45 1 0.5142 1 1 1 10 390 550
18 46 1 0.4545 0 1 0 0 390 950
18 47 1 0.4545 0 0 1 10 400 616
18 48 1 0.5142 1 1 1 10 410 1600
18 49 1 0.4545 0 0 1 10 420 3016
18 50 1 0.4545 0 0 1 10 430 1017
18 51 1 0.4545 0 0 1 10 440 733
18 52 1 0.4545 0 0 1 10 450 1050
18 53 1 0.5142 1 1 1 10 460 816
18 54 1 0.5142 1 1 1 10 470 900
18 55 1 0.5142 1 1 1 10 480 850
18 56 1 0.4545 0 0 1 10 490 1050
18 57 1 0.4545 0 0 1 10 500 1000
18 58 1 0.5142 1 1 1 10 510 783
18 59 1 0.5142 1 1 1 10 520 633
18 60 1 0.4545 0 0 1 10 530 1466
18 61 1 0.5142 1 1 1 10 540 583
18 62 1 0.5142 1 1 1 10 550 800
18 63 1 0.5142 1 1 1 10 560 700
18 64 1 0.4545 0 0 1 10 570 683
18 65 1 0.5142 1 1 1 10 580 766
18 66 1 0.5142 1 1 1 10 590 766
18 67 1 0.4545 0 0 1 10 600 1150
18 68 1 0.4545 0 0 1 10 610 883
18 69 1 0.5142 1 1 1 10 620 950
18 70 1 0.5142 1 1 1 10 630 783
18 71 1 0.4545 0 0 1 10 640 566
18 72 1 0.4545 0 1 0 0 640 766
18 73 1 0.5142 1 1 1 10 650 783
18 74 1 0.5142 1 1 1 10 660 750
18 75 1 0.5142 1 1 1 10 670 900
18 76 1 0.5142 1 0 0 0 670 750
18 77 1 0.4545 0 0 1 10 680 583
18 78 1 0.5142 1 1 1 10 690 716
18 79 1 0.5142 1 1 1 10 700 600
18 80 1 0.4545 0 0 1 10 710 800
18 81 1 0.4545 0 0 1 10 720 1250
18 82 1 0.5142 1 1 1 10 730 833
18 83 1 0.5142 1 1 1 10 740 966
18 84 1 0.5142 1 1 1 10 750 666
