SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
20 1 0 0.4994 0 0 1 10 10 1316
20 2 0 0.4994 0 0 1 10 20 950
20 3 0 0.4994 0 1 0 0 20 916
20 4 0 0.4994 0 1 0 0 20 1050
20 5 0 0.4994 0 0 1 10 30 1216
20 6 0 0.4994 0 0 1 10 40 916
20 7 0 0.5308 1 0 0 0 40 1033
20 8 0 0.4994 0 1 0 0 40 1316
20 9 0 0.4994 0 1 0 0 40 1266
20 10 0 0.4994 0 0 1 10 50 1933
20 11 0 0.5308 1 1 1 10 60 1000
20 12 0 0.5308 1 0 0 0 60 1050
20 13 0 0.5308 1 0 0 0 60 1567
20 14 0 0.5308 1 0 0 0 60 1083
20 15 0 0.5308 1 0 0 0 60 783
20 16 0 0.4994 0 1 0 0 60 966
20 17 0 0.4994 0 0 1 10 70 866
20 18 0 0.4994 0 0 1 10 80 767
20 19 0 0.5308 1 1 1 10 90 933
20 20 0 0.5308 1 0 0 0 90 850
20 21 0 0.4994 0 1 0 0 90 700
20 22 0 0.4994 0 1 0 0 90 800
20 23 0 0.5308 1 1 1 10 100 766
20 24 0 0.5308 1 1 1 10 110 1000
20 25 0 0.4994 0 0 1 10 120 800
20 26 0 0.5308 1 1 1 10 130 700
20 27 0 0.5308 1 1 1 10 140 833
20 28 0 0.5308 1 1 1 10 150 1316
20 29 0 0.4994 0 0 1 10 160 700
20 30 0 0.5308 1 0 0 0 160 816
20 31 0 0.4994 0 0 1 10 170 1066
20 32 0 0.5308 1 1 1 10 180 1066
20 33 0 0.4994 0 0 1 10 190 1300
20 34 0 0.4994 0 0 1 10 200 716
20 35 0 0.4994 0 0 1 10 210 733
20 36 0 0.4994 0 0 1 10 220 850
20 37 0 0.5308 1 0 0 0 220 933
20 38 0 0.5308 1 1 1 10 230 1016
20 39 0 0.5308 1 0 0 0 230 1450
20 40 0 0.4994 0 0 1 10 240 850
20 41 0 0.4994 0 0 1 10 250 800
20 42 0 0.4994 0 0 1 10 260 683
20 43 0 0.5308 1 1 1 10 270 916
20 44 0 0.4994 0 0 1 10 280 1550
20 45 0 0.4994 0 0 1 10 290 1033
20 46 0 0.5308 1 0 0 0 290 683
20 47 0 0.5308 1 0 0 0 290 800
20 48 0 0.5308 1 0 0 0 290 1083
20 49 0 0.5308 1 1 1 10 300 900
20 50 0 0.5308 1 0 0 0 300 1066
20 51 0 0.5308 1 0 0 0 300 966
20 52 0 0.4994 0 0 1 10 310 816
20 53 0 0.5308 1 1 1 10 320 1483
20 54 0 0.5308 1 0 0 0 320 833
20 55 0 0.4994 0 0 1 10 330 683
20 56 0 0.4994 0 0 1 10 340 950
20 57 0 0.4994 0 0 1 10 350 883
20 58 0 0.4994 0 0 1 10 360 783
20 59 0 0.5308 1 0 0 0 360 633
20 60 0 0.4994 0 0 1 10 370 966
20 61 0 0.5308 1 1 1 10 380 900
20 62 0 0.5308 1 0 0 0 380 883
20 63 0 0.5308 1 0 0 0 380 716
20 64 0 0.4994 0 0 1 10 390 783
20 65 0 0.5308 1 0 0 0 390 866
20 66 0 0.5308 1 1 1 10 400 916
20 67 0 0.5308 1 0 0 0 400 1200
20 68 0 0.4994 0 0 1 10 410 1083
20 69 0 0.5308 1 1 1 10 420 733
20 70 0 0.4994 0 1 0 0 420 900
20 71 0 0.4994 0 1 0 0 420 933
20 72 0 0.4994 0 1 0 0 420 1350
20 73 0 0.5308 1 1 1 10 430 1450
20 74 0 0.4994 0 0 1 10 440 816
20 75 0 0.5308 1 1 1 10 450 1050
20 76 0 0.4994 0 1 0 0 450 933
20 77 0 0.4994 0 1 0 0 450 966
20 78 0 0.4994 0 1 0 0 450 1466
20 79 0 0.5308 1 0 0 0 450 800
20 80 0 0.5308 1 1 1 10 460 1200
20 81 0 0.4994 0 1 0 0 460 1650
20 82 0 0.5308 1 1 1 10 470 866
20 83 0 0.5308 1 1 1 10 480 1083
20 84 0 0.5308 1 0 0 0 480 866
20 85 0 0.4994 0 0 1 10 490 1516
20 86 0 0.5308 1 0 0 0 490 1183
20 87 0 0.5308 1 1 1 10 500 1033
20 88 0 0.4994 0 1 0 0 500 966
20 89 0 0.5308 1 1 1 10 510 916
20 90 0 0.5308 1 1 1 10 520 916
20 91 0 0.4994 0 0 1 10 530 867
20 92 0 0.4994 0 0 1 10 540 750
20 93 0 0.4994 0 1 0 0 540 833
20 94 0 0.4994 0 0 1 10 550 866
20 95 0 0.4994 0 0 1 10 560 833
20 96 0 0.5308 1 1 1 10 570 850
20 97 0 0.4994 0 0 1 10 580 1033
20 98 0 0.5308 1 1 1 10 590 1016
20 99 0 0.5308 1 0 0 0 590 933
20 100 0 0.5308 1 1 1 10 600 1116
20 101 1 0.4994 0 0 1 10 610 816
20 102 1 0.4994 0 0 1 10 620 816
20 103 1 0.4994 0 1 0 0 620 933
20 104 1 0.4994 0 1 0 0 620 1750
20 105 1 0.5308 1 0 0 0 620 916
20 106 1 0.4994 0 1 0 0 620 1133
20 107 1 0.5308 1 1 1 10 630 850
20 108 1 0.4994 0 1 0 0 630 966
20 109 1 0.4994 0 0 1 10 640 833
20 110 1 0.4994 0 0 1 10 650 883
20 111 1 0.4994 0 0 1 10 660 850
20 112 1 0.4994 0 0 1 10 670 950
20 113 1 0.4994 0 0 1 10 680 700
20 114 1 0.5308 1 0 0 0 680 683
20 115 1 0.5308 1 1 1 10 690 783
20 116 1 0.4994 0 1 0 0 690 1000
20 117 1 0.4994 0 0 1 10 700 966
20 118 1 0.5308 1 1 1 10 710 1200
20 119 1 0.4994 0 1 0 0 710 850
20 120 1 0.4994 0 0 1 10 720 1583
20 121 1 0.5308 1 0 0 0 720 1666
20 122 1 0.5308 1 0 0 0 720 1417
20 123 1 0.4994 0 1 0 0 720 900
20 124 1 0.4994 0 1 0 0 720 817
20 125 1 0.4994 0 0 1 10 730 1083
20 126 1 0.4994 0 0 1 10 740 1200
20 127 1 0.4994 0 1 0 0 740 1133
20 128 1 0.4994 0 1 0 0 740 950
20 129 1 0.4994 0 1 0 0 740 1067
20 130 1 0.5308 1 1 1 10 750 1533
20 131 1 0.5308 1 1 1 10 760 966
20 132 1 0.5308 1 1 1 10 770 850
