SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
21 1 0 0.5189 1 1 1 10 10 2452
21 2 0 0.5189 1 1 1 10 20 583
21 3 0 0.5189 1 1 1 10 30 933
21 4 0 0.4895 0 1 0 0 30 833
21 5 0 0.4895 0 0 1 10 40 1000
21 6 0 0.5189 1 0 0 0 40 916
21 7 0 0.4895 0 0 1 10 50 650
21 8 0 0.4895 0 0 1 10 60 666
21 9 0 0.4895 0 0 1 10 70 516
21 10 0 0.5189 1 1 1 10 80 900
21 11 0 0.5189 1 1 1 10 90 833
21 12 0 0.5189 1 1 1 10 100 717
21 13 0 0.4895 0 1 0 0 100 933
21 14 0 0.5189 1 1 1 10 110 716
21 15 0 0.4895 0 0 1 10 120 533
21 16 0 0.5189 1 0 0 0 120 600
21 17 0 0.5189 1 1 1 10 130 1233
21 18 0 0.5189 1 1 1 10 140 600
21 19 0 0.4895 0 0 1 10 150 600
21 20 0 0.4895 0 0 1 10 160 533
21 21 0 0.5189 1 1 1 10 170 833
21 22 0 0.5189 1 1 1 10 180 583
21 23 0 0.5189 1 1 1 10 190 683
21 24 0 0.4895 0 0 1 10 200 633
21 25 0 0.4895 0 1 0 0 200 750
21 26 0 0.5189 1 1 1 10 210 633
21 27 0 0.5189 1 1 1 10 220 550
21 28 0 0.5189 1 1 1 10 230 900
21 29 0 0.5189 1 1 1 10 240 633
21 30 0 0.4895 0 0 1 10 250 600
21 31 0 0.5189 1 0 0 0 250 566
21 32 0 0.5189 1 0 0 0 250 616
21 33 0 0.5189 1 1 1 10 260 750
21 34 0 0.4895 0 0 1 10 270 750
21 35 0 0.4895 0 1 0 0 270 700
21 36 0 0.5189 1 0 0 0 270 816
21 37 0 0.5189 1 1 1 10 280 733
21 38 0 0.4895 0 1 0 0 280 650
21 39 0 0.4895 0 1 0 0 280 833
21 40 0 0.4895 0 0 1 10 290 866
21 41 0 0.5189 1 0 0 0 290 600
21 42 0 0.5189 1 1 1 10 300 583
21 43 0 0.5189 1 1 1 10 310 533
21 44 0 0.4895 0 0 1 10 320 666
21 45 0 0.5189 1 1 1 10 330 666
21 46 0 0.5189 1 1 1 10 340 733
21 47 0 0.4895 0 0 1 10 350 583
21 48 0 0.4895 0 1 0 0 350 700
21 49 0 0.5189 1 1 1 10 360 683
21 50 0 0.5189 1 1 1 10 370 466
21 51 0 0.4895 0 1 0 0 370 816
21 52 0 0.4895 0 1 0 0 370 700
21 53 0 0.5189 1 1 1 10 380 633
21 54 0 0.5189 1 1 1 10 390 600
21 55 0 0.4895 0 0 1 10 400 500
21 56 0 0.5189 1 0 0 0 400 533
21 57 0 0.4895 0 0 1 10 410 1300
21 58 0 0.4895 0 1 0 0 410 533
21 59 0 0.5189 1 0 0 0 410 550
21 60 0 0.5189 1 1 1 10 420 950
21 61 0 0.5189 1 1 1 10 430 650
21 62 0 0.4895 0 1 0 0 430 933
21 63 0 0.4895 0 0 1 10 440 1333
21 64 0 0.4895 0 0 1 10 450 600
21 65 0 0.4895 0 0 1 10 460 550
21 66 0 0.4895 0 1 0 0 460 650
21 67 0 0.5189 1 0 0 0 460 566
21 68 0 0.5189 1 1 1 10 470 866
21 69 0 0.5189 1 1 1 10 480 566
21 70 0 0.5189 1 1 1 10 490 1650
21 71 0 0.4895 0 0 1 10 500 566
21 72 0 0.4895 0 0 1 10 510 650
21 73 0 0.4895 0 0 1 10 520 466
21 74 0 0.4895 0 0 1 10 530 700
21 75 0 0.4895 0 1 0 0 530 566
21 76 0 0.4895 0 1 0 0 530 533
21 77 0 0.4895 0 1 0 0 530 750
21 78 0 0.5189 1 1 1 10 540 566
21 79 0 0.4895 0 0 1 10 550 766
21 80 0 0.4895 0 1 0 0 550 833
21 81 0 0.4895 0 0 1 10 560 650
21 82 0 0.4895 0 0 1 10 570 700
21 83 0 0.5189 1 1 1 10 580 566
21 84 0 0.4895 0 1 0 0 580 700
21 85 0 0.4895 0 1 0 0 580 716
21 86 0 0.5189 1 1 1 10 590 566
21 87 0 0.5189 1 1 1 10 600 783
21 88 0 0.4895 0 0 1 10 610 716
21 89 0 0.4895 0 0 1 10 620 516
21 90 0 0.4895 0 0 1 10 630 1033
21 91 0 0.5189 1 1 1 10 640 500
21 92 0 0.4895 0 0 1 10 650 650
21 93 0 0.5189 1 1 1 10 660 583
21 94 0 0.5189 1 1 1 10 670 883
21 95 0 0.4895 0 0 1 10 680 683
21 96 0 0.4895 0 0 1 10 690 450
21 97 0 0.4895 0 0 1 10 700 600
21 98 0 0.5189 1 0 0 0 700 516
21 99 0 0.5189 1 0 0 0 700 716
21 100 0 0.5189 1 1 1 10 710 716
21 101 1 0.4895 0 0 1 10 720 600
21 102 1 0.5189 1 0 0 0 720 1183
21 103 1 0.5189 1 0 0 0 720 733
21 104 1 0.5189 1 0 0 0 720 733
21 105 1 0.4895 0 1 0 0 720 600
21 106 1 0.4895 0 1 0 0 720 750
21 107 1 0.4895 0 1 0 0 720 633
21 108 1 0.4895 0 1 0 0 720 583
