SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
3 1 1 0.4877 0 0 1 0.025 4.025
3 2 1 0.5061 1 0 0 0.000 4.025
3 3 1 0.4877 0 1 0 0.000 4.025
3 4 1 0.4877 0 1 0 0.000 4.025
3 5 1 0.4877 0 0 1 0.025 4.050
3 6 1 0.4877 0 1 0 0.000 4.050
3 7 1 0.4877 0 1 0 0.000 4.050
3 8 1 0.4877 0 0 1 0.025 4.075
3 9 1 0.5061 1 1 1 0.025 4.100
3 10 1 0.4877 0 1 0 0.000 4.100
3 11 1 0.4877 0 0 1 0.025 4.125
3 12 1 0.4877 0 0 1 0.025 4.150
3 13 1 0.4877 0 0 1 0.025 4.175
3 14 1 0.4877 0 0 1 0.025 4.200
3 15 1 0.5061 1 1 1 0.025 4.225
3 16 1 0.4877 0 0 1 0.025 4.250
3 17 1 0.4877 0 0 1 0.025 4.275
3 18 1 0.5061 1 0 0 0.000 4.275
3 19 1 0.4877 0 1 0 0.000 4.275
3 20 1 0.4877 0 0 1 0.025 4.300
3 21 1 0.4877 0 0 1 0.025 4.325
3 22 1 0.4877 0 0 1 0.025 4.350
3 23 1 0.4877 0 1 0 0.000 4.350
3 24 1 0.5061 1 1 1 0.025 4.375
3 25 1 0.5061 1 1 1 0.025 4.400
3 26 1 0.5061 1 1 1 0.025 4.425
3 27 1 0.4877 0 0 1 0.025 4.450
3 28 1 0.4877 0 0 1 0.025 4.475
3 29 1 0.4877 0 0 1 0.025 4.500
3 30 1 0.5061 1 1 1 0.025 4.525
3 31 1 0.4877 0 1 0 0.000 4.525
3 32 1 0.5061 1 1 1 0.025 4.550
3 33 1 0.5061 1 1 1 0.025 4.575
3 34 1 0.5061 1 0 0 0.000 4.575
3 35 1 0.5061 1 1 1 0.025 4.600
3 36 1 0.5061 1 0 0 0.000 4.600
3 37 1 0.5061 1 1 1 0.025 4.625
3 38 1 0.5061 1 1 1 0.025 4.650
3 39 1 0.4877 0 1 0 0.000 4.650
3 40 1 0.4877 0 1 0 0.000 4.650
3 41 1 0.5061 1 1 1 0.025 4.675
3 42 1 0.4877 0 0 1 0.025 4.700
3 43 1 0.5061 1 0 0 0.000 4.700
3 44 1 0.5061 1 1 1 0.025 4.725
3 45 1 0.4877 0 0 1 0.025 4.750
3 46 1 0.4877 0 0 1 0.025 4.775
3 47 1 0.5061 1 1 1 0.025 4.800
3 48 1 0.5061 1 0 0 0.000 4.800
3 49 1 0.5061 1 1 1 0.025 4.825
3 50 1 0.5061 1 1 1 0.025 4.850
3 51 1 0.4877 0 0 1 0.025 4.875
3 52 1 0.4877 0 0 1 0.025 4.900
3 53 1 0.4877 0 1 0 0.000 4.900
3 54 1 0.5061 1 1 1 0.025 4.925
3 55 1 0.5061 1 1 1 0.025 4.950
3 56 1 0.4877 0 0 1 0.025 4.975
3 57 1 0.5061 1 0 0 0.000 4.975
3 58 1 0.4877 0 1 0 0.000 4.975
3 59 1 0.5061 1 1 1 0.025 5.000
3 60 1 0.4877 0 1 0 0.000 5.000
3 61 1 0.4877 0 1 0 0.000 5.000
3 62 1 0.5061 1 1 1 0.025 5.025
3 63 1 0.5061 1 0 0 0.000 5.025
