SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
8 1 1 0.5179 1 1 1 0.025 4.025
8 2 1 0.4986 0 0 1 0.025 4.050
8 3 1 0.5179 1 0 0 0.000 4.050
8 4 1 0.4986 0 1 0 0.000 4.050
8 5 1 0.5179 1 1 1 0.025 4.075
8 6 1 0.5179 1 1 1 0.025 4.100
8 7 1 0.4986 0 1 0 0.000 4.100
8 8 1 0.5179 1 1 1 0.025 4.125
8 9 1 0.4986 0 0 1 0.025 4.150
8 10 1 0.4986 0 0 1 0.025 4.175
8 11 1 0.4986 0 0 1 0.025 4.200
8 12 1 0.4986 0 0 1 0.025 4.225
8 13 1 0.4986 0 0 1 0.025 4.250
8 14 1 0.4986 0 0 1 0.025 4.275
8 15 1 0.4986 0 1 0 0.000 4.275
8 16 1 0.5179 1 0 0 0.000 4.275
8 17 1 0.4986 0 0 1 0.025 4.300
8 18 1 0.4986 0 0 1 0.025 4.325
8 19 1 0.4986 0 0 1 0.025 4.350
8 20 1 0.5179 1 1 1 0.025 4.375
8 21 1 0.4986 0 1 0 0.000 4.375
8 22 1 0.4986 0 1 0 0.000 4.375
8 23 1 0.5179 1 1 1 0.025 4.400
8 24 1 0.5179 1 0 0 0.000 4.400
8 25 1 0.5179 1 0 0 0.000 4.400
8 26 1 0.4986 0 1 0 0.000 4.400
8 27 1 0.5179 1 1 1 0.025 4.425
8 28 1 0.5179 1 1 1 0.025 4.450
8 29 1 0.4986 0 1 0 0.000 4.450
8 30 1 0.5179 1 1 1 0.025 4.475
8 31 1 0.4986 0 1 0 0.000 4.475
8 32 1 0.5179 1 1 1 0.025 4.500
8 33 1 0.4986 0 1 0 0.000 4.500
8 34 1 0.5179 1 0 0 0.000 4.500
8 35 1 0.5179 1 0 0 0.000 4.500
8 36 1 0.5179 1 1 1 0.025 4.525
8 37 1 0.5179 1 1 1 0.025 4.550
8 38 1 0.5179 1 1 1 0.025 4.575
8 39 1 0.4986 0 1 0 0.000 4.575
8 40 1 0.5179 1 1 1 0.025 4.600
8 41 1 0.5179 1 0 0 0.000 4.600
8 42 1 0.5179 1 0 0 0.000 4.600
8 43 1 0.5179 1 1 1 0.025 4.625
8 44 1 0.5179 1 1 1 0.025 4.650
8 45 1 0.5179 1 1 1 0.025 4.675
8 46 1 0.5179 1 0 0 0.000 4.675
8 47 1 0.4986 0 1 0 0.000 4.675
8 48 1 0.4986 0 1 0 0.000 4.675
8 49 1 0.5179 1 1 1 0.025 4.700
8 50 1 0.4986 0 1 0 0.000 4.700
8 51 1 0.5179 1 0 0 0.000 4.700
8 52 1 0.5179 1 0 0 0.000 4.700
8 53 1 0.4986 0 0 1 0.025 4.725
8 54 1 0.5179 1 0 0 0.000 4.725
8 55 1 0.5179 1 1 1 0.025 4.750
8 56 1 0.5179 1 0 0 0.000 4.750
8 57 1 0.4986 0 1 0 0.000 4.750
8 58 1 0.5179 1 1 1 0.025 4.775
8 59 1 0.5179 1 0 0 0.000 4.775
8 60 1 0.4986 0 0 1 0.025 4.800
8 61 1 0.4986 0 0 1 0.025 4.825
