SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
12 1 0 0.5529 1 1 1 10 10 2983
12 2 0 0.4948 0 0 1 10 20 6000
12 3 0 0.5529 1 1 1 10 30 2383
12 4 0 0.4948 0 0 1 10 40 3033
12 5 0 0.5529 1 1 1 10 50 2216
12 6 0 0.5529 1 1 1 10 60 1216
12 7 0 0.4948 0 1 0 0 60 2233
12 8 0 0.5529 1 0 0 0 60 1516
12 9 0 0.4948 0 0 1 10 70 2700
12 10 0 0.4948 0 0 1 10 80 2250
12 11 0 0.5529 1 1 1 10 90 1066
12 12 0 0.5529 1 0 0 0 90 1633
12 13 0 0.5529 1 1 1 10 100 3600
12 14 0 0.4948 0 0 1 10 110 1000
12 15 0 0.4948 0 1 0 0 110 2116
12 16 0 0.5529 1 1 1 10 120 1216
12 17 0 0.5529 1 1 1 10 130 2966
12 18 0 0.4948 0 1 0 0 130 1283
12 19 0 0.4948 0 0 1 10 140 966
12 20 0 0.4948 0 0 1 10 150 1066
12 21 0 0.4948 0 0 1 10 160 1016
12 22 0 0.4948 0 0 1 10 170 1233
12 23 0 0.5529 1 1 1 10 180 1850
12 24 0 0.4948 0 0 1 10 190 1650
12 25 0 0.5529 1 1 1 10 200 1183
12 26 0 0.4948 0 0 1 10 210 1583
12 27 0 0.5529 1 1 1 10 220 933
12 28 0 0.5529 1 1 1 10 230 1683
12 29 0 0.4948 0 1 0 0 230 1816
12 30 0 0.4948 0 0 1 10 240 1233
12 31 0 0.4948 0 1 0 0 240 2333
12 32 0 0.4948 0 0 1 10 250 2516
12 33 0 0.4948 0 0 1 10 260 1966
12 34 0 0.5529 1 1 1 10 270 1116
12 35 0 0.5529 1 1 1 10 280 1216
12 36 0 0.4948 0 0 1 10 290 1833
12 37 0 0.5529 1 1 1 10 300 1200
12 38 0 0.5529 1 1 1 10 310 883
12 39 0 0.4948 0 0 1 10 320 983
12 40 0 0.5529 1 1 1 10 330 1033
12 41 0 0.5529 1 1 1 10 340 766
12 42 0 0.4948 0 0 1 10 350 1800
12 43 0 0.4948 0 0 1 10 360 816
12 44 0 0.4948 0 1 0 0 360 1083
12 45 0 0.4948 0 0 1 10 370 716
12 46 0 0.4948 0 0 1 10 380 816
12 47 0 0.4948 0 0 1 10 390 833
12 48 0 0.5529 1 1 1 10 400 1016
12 49 0 0.5529 1 1 1 10 410 883
12 50 0 0.4948 0 0 1 10 420 1816
12 51 0 0.5529 1 1 1 10 430 1133
12 52 0 0.4948 0 0 1 10 440 1116
12 53 0 0.4948 0 0 1 10 450 983
12 54 0 0.5529 1 1 1 10 460 1050
12 55 0 0.5529 1 1 1 10 470 916
12 56 0 0.5529 1 1 1 10 480 750
12 57 0 0.4948 0 0 1 10 490 1333
12 58 0 0.5529 1 1 1 10 500 583
12 59 0 0.4948 0 0 1 10 510 3050
12 60 0 0.5529 1 1 1 10 520 733
12 61 0 0.4948 0 0 1 10 530 1066
12 62 0 0.5529 1 1 1 10 540 950
12 63 0 0.4948 0 0 1 10 550 1016
12 64 0 0.4948 0 0 1 10 560 666
12 65 0 0.5529 1 1 1 10 570 950
12 66 0 0.5529 1 1 1 10 580 816
12 67 0 0.5529 1 1 1 10 590 1050
12 68 0 0.5529 1 0 0 0 590 1366
12 69 0 0.4948 0 0 1 10 600 666
12 70 0 0.5529 1 0 0 0 600 1100
12 71 0 0.4948 0 0 1 10 610 733
12 72 0 0.5529 1 1 1 10 620 600
12 73 0 0.5529 1 1 1 10 630 850
12 74 0 0.5529 1 1 1 10 640 866
12 75 0 0.4948 0 0 1 10 650 683
12 76 0 0.4948 0 0 1 10 660 983
12 77 0 0.5529 1 1 1 10 670 800
12 78 0 0.4948 0 0 1 10 680 1283
12 79 0 0.5529 1 1 1 10 690 666
12 80 0 0.5529 1 1 1 10 700 866
12 81 0 0.5529 1 1 1 10 710 1066
12 82 0 0.5529 1 1 1 10 720 816
12 83 0 0.4948 0 0 1 10 730 766
12 84 0 0.5529 1 1 1 10 740 783
12 85 0 0.4948 0 1 0 0 740 1000
12 86 0 0.4948 0 0 1 10 750 833
12 87 0 0.5529 1 1 1 10 760 1050
12 88 0 0.4948 0 0 1 10 770 950
12 89 0 0.4948 0 0 1 10 780 783
12 90 0 0.4948 0 0 1 10 790 666
12 91 0 0.5529 1 1 1 10 800 933
12 92 0 0.4948 0 1 0 0 800 750
12 93 0 0.5529 1 1 1 10 810 900
12 94 0 0.4948 0 0 1 10 820 683
12 95 0 0.5529 1 0 0 0 820 983
12 96 0 0.5529 1 1 1 10 830 900
12 97 0 0.5529 1 1 1 10 840 750
12 98 0 0.4948 0 0 1 10 850 883
12 99 0 0.5529 1 1 1 10 860 783
12 100 0 0.4948 0 1 0 0 860 1066
12 101 1 0.4948 0 1 0 0 860 650
12 102 1 0.5529 1 0 0 0 860 2266
12 103 1 0.4948 0 0 1 10 870 1266
12 104 1 0.4948 0 0 1 10 880 2116
12 105 1 0.5529 1 1 1 10 890 1800
12 106 1 0.5529 1 0 0 0 890 1700
12 107 1 0.5529 1 0 0 0 890 2883
12 108 1 0.4948 0 1 0 0 890 1516
12 109 1 0.4948 0 0 1 10 900 3950
12 110 1 0.5529 1 0 0 0 900 966
12 111 1 0.5529 1 1 1 10 910 1133
12 112 1 0.4948 0 0 1 10 920 1083
12 113 1 0.5529 1 1 1 10 930 1183
12 114 1 0.4948 0 0 1 10 940 2000
12 115 1 0.4948 0 0 1 10 950 983
12 116 1 0.5529 1 1 1 10 960 2866
12 117 1 0.5529 1 1 1 10 970 3950
12 118 1 0.4948 0 1 0 0 970 1600
12 119 1 0.5529 1 1 1 10 980 2150
