SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
2 127 0 0.5130 0 0 1 0.025 6.600
2 128 0 0.5375 1 1 1 0.025 6.625
2 129 0 0.5375 1 0 0 0.000 6.625
2 130 0 0.5130 0 0 1 0.025 6.650
2 131 0 0.5130 0 0 1 0.025 6.675
2 132 0 0.5130 0 0 1 0.025 6.700
2 133 0 0.5130 0 0 1 0.025 6.725
2 134 0 0.5130 0 0 1 0.025 6.750
2 135 0 0.5130 0 0 1 0.025 6.775
2 136 0 0.5130 0 0 1 0.025 6.800
2 137 0 0.5130 0 0 1 0.025 6.825
2 138 0 0.5375 1 1 1 0.025 6.850
2 139 0 0.5375 1 1 1 0.025 6.875
2 140 0 0.5130 0 0 1 0.025 6.900
2 141 0 0.5130 0 0 1 0.025 6.925
2 142 0 0.5130 0 0 1 0.025 6.950
2 143 0 0.5130 0 0 1 0.025 6.975
2 144 0 0.5375 1 0 0 0.000 6.975
2 145 0 0.5130 0 0 1 0.025 7.000
2 146 0 0.5375 1 1 1 0.025 7.025
2 147 0 0.5130 0 0 1 0.025 7.050
2 148 0 0.5375 1 0 0 0.000 7.050
2 149 0 0.5375 1 0 0 0.000 7.050
2 150 0 0.5130 0 0 1 0.025 7.075
2 151 0 0.5375 1 1 1 0.025 7.100
2 152 0 0.5130 0 0 1 0.025 7.125
2 153 0 0.5375 1 0 0 0.000 7.125
2 154 0 0.5130 0 0 1 0.025 7.150
2 155 0 0.5375 1 1 1 0.025 7.175
2 156 0 0.5375 1 1 1 0.025 7.200
2 157 0 0.5375 1 1 1 0.025 7.225
2 158 0 0.5375 1 1 1 0.025 7.250
2 159 0 0.5375 1 1 1 0.025 7.275
2 160 0 0.5130 0 0 1 0.025 7.300
2 161 0 0.5375 1 0 0 0.000 7.300
2 162 0 0.5375 1 1 1 0.025 7.325
2 163 0 0.5375 1 1 1 0.025 7.350
2 164 0 0.5130 0 1 0 0.000 7.350
2 165 0 0.5375 1 1 1 0.025 7.375
2 166 0 0.5375 1 1 1 0.025 7.400
2 167 0 0.5130 0 0 1 0.025 7.425
2 168 0 0.5375 1 1 1 0.025 7.450
2 169 0 0.5375 1 1 1 0.025 7.475
2 170 0 0.5130 0 0 1 0.025 7.500
2 171 0 0.5375 1 1 1 0.025 7.525
2 172 0 0.5130 0 1 0 0.000 7.525
2 173 0 0.5130 0 0 1 0.025 7.550
2 174 0 0.5130 0 0 1 0.025 7.575
2 175 0 0.5130 0 1 0 0.000 7.575
2 176 0 0.5130 0 0 1 0.025 7.600
