SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
4 111 1 0.4745 0 0 1 0.025 5.350
4 112 1 0.4956 1 1 1 0.025 5.375
4 113 1 0.4745 0 0 1 0.025 5.400
4 114 1 0.4745 0 0 1 0.025 5.425
4 115 1 0.4745 0 1 0 0.000 5.425
4 116 1 0.4956 1 1 1 0.025 5.450
4 117 1 0.4956 1 1 1 0.025 5.475
4 118 1 0.4745 0 1 0 0.000 5.475
4 119 1 0.4956 1 1 1 0.025 5.500
4 120 1 0.4956 1 0 0 0.000 5.500
4 121 1 0.4956 1 1 1 0.025 5.525
4 122 1 0.4745 0 0 1 0.025 5.550
4 123 1 0.4956 1 0 0 0.000 5.550
4 124 1 0.4956 1 1 1 0.025 5.575
4 125 1 0.4956 1 1 1 0.025 5.600
4 126 1 0.4956 1 0 0 0.000 5.600
4 127 1 0.4956 1 0 0 0.000 5.600
4 128 1 0.4745 0 0 1 0.025 5.625
4 129 1 0.4956 1 0 0 0.000 5.625
4 130 1 0.4745 0 0 1 0.025 5.650
4 131 1 0.4745 0 1 0 0.000 5.650
4 132 1 0.4956 1 1 1 0.025 5.675
4 133 1 0.4956 1 0 0 0.000 5.675
4 134 1 0.4745 0 1 0 0.000 5.675
4 135 1 0.4956 1 1 1 0.025 5.700
4 136 1 0.4956 1 0 0 0.000 5.700
4 137 1 0.4745 0 0 1 0.025 5.725
4 138 1 0.4745 0 0 1 0.025 5.750
4 139 1 0.4745 0 0 1 0.025 5.775
4 140 1 0.4956 1 0 0 0.000 5.775
4 141 1 0.4745 0 0 1 0.025 5.800
4 142 1 0.4745 0 1 0 0.000 5.800
4 143 1 0.4745 0 1 0 0.000 5.800
4 144 1 0.4745 0 1 0 0.000 5.800
4 145 1 0.4745 0 0 1 0.025 5.825
4 146 1 0.4956 1 0 0 0.000 5.825
4 147 1 0.4956 1 0 0 0.000 5.825
4 148 1 0.4956 1 0 0 0.000 5.825
4 149 1 0.4745 0 1 0 0.000 5.825
4 150 1 0.4745 0 1 0 0.000 5.825
4 151 1 0.4745 0 1 0 0.000 5.825
4 152 1 0.4956 1 1 1 0.025 5.850
4 153 1 0.4745 0 0 1 0.025 5.875
4 154 1 0.4745 0 0 1 0.025 5.900
4 155 1 0.4956 1 0 0 0.000 5.900
4 156 1 0.4956 1 0 0 0.000 5.900
4 157 1 0.4956 1 1 1 0.025 5.925
4 158 1 0.4745 0 1 0 0.000 5.925
4 159 1 0.4745 0 0 1 0.025 5.950
4 160 1 0.4956 1 0 0 0.000 5.950
4 161 1 0.4745 0 0 1 0.025 5.975
4 162 1 0.4745 0 0 1 0.025 6.000
4 163 1 0.4745 0 0 1 0.025 6.025
4 164 1 0.4745 0 0 1 0.025 6.050
4 165 1 0.4745 0 0 1 0.025 6.075
4 166 1 0.4745 0 0 1 0.025 6.100
