SubNo TrialNo WhiteProp Resp Ac
22 1 0.58 1 1
22 2 0.42 0 1
22 3 0.50 0 0
22 4 0.46 0 1
22 5 0.52 1 1
22 6 0.48 0 1
22 7 0.52 1 1
22 8 0.48 0 1
22 9 0.58 1 1
22 10 0.46 0 1
22 11 0.46 0 1
22 12 0.54 1 1
22 13 0.54 1 1
22 14 0.46 0 1
22 15 0.52 1 1
22 16 0.40 0 1
22 17 0.46 0 1
22 18 0.42 0 1
22 19 0.54 1 1
22 20 0.60 1 1
22 21 0.40 0 1
22 22 0.52 0 0
22 23 0.48 0 1
22 24 0.60 1 1
22 25 0.50 1 1
22 26 0.58 1 1
22 27 0.42 0 1
22 28 0.54 1 1
22 29 0.42 0 1
22 30 0.50 0 0
22 31 0.46 0 1
22 32 0.52 0 0
22 33 0.48 0 1
22 34 0.42 0 1
22 35 0.50 0 0
22 36 0.48 1 0
22 37 0.58 1 1
22 38 0.50 1 1
22 39 0.48 1 0
22 40 0.40 0 1
22 41 0.52 1 1
22 42 0.48 1 0
22 43 0.46 0 1
22 44 0.40 0 1
22 45 0.60 1 1
22 46 0.46 0 1
22 47 0.48 0 1
22 48 0.50 0 0
22 49 0.52 0 0
22 50 0.58 1 1
22 51 0.40 0 1
22 52 0.58 1 1
22 53 0.48 0 1
22 54 0.48 1 0
22 55 0.46 0 1
22 56 0.54 1 1
22 57 0.46 0 1
22 58 0.60 1 1
22 59 0.60 1 1
22 60 0.50 0 0
22 61 0.48 0 1
22 62 0.52 1 1
22 63 0.60 1 1
22 64 0.40 0 1
22 65 0.50 1 1
22 66 0.42 0 1
22 67 0.46 0 1
22 68 0.40 0 1
22 69 0.60 1 1
22 70 0.42 0 1
22 71 0.40 0 1
22 72 0.50 0 0
22 73 0.46 0 1
22 74 0.52 1 1
22 75 0.54 1 1
22 76 0.48 0 1
22 77 0.46 0 1
22 78 0.40 0 1
22 79 0.48 0 1
22 80 0.46 0 1
22 81 0.40 0 1
22 82 0.46 0 1
22 83 0.60 1 1
22 84 0.50 1 1
22 85 0.54 1 1
22 86 0.58 1 1
22 87 0.42 0 1
22 88 0.50 1 1
22 89 0.40 0 1
22 90 0.40 0 1
22 91 0.52 1 1
22 92 0.58 1 1
22 93 0.58 1 1
22 94 0.60 1 1
22 95 0.54 1 1
22 96 0.52 1 1
22 97 0.60 1 1
22 98 0.48 0 1
22 99 0.54 0 0
22 100 0.40 0 1
22 101 0.42 0 1
22 102 0.58 1 1
22 103 0.60 1 1
22 104 0.42 0 1
22 105 0.50 0 0
22 106 0.42 0 1
22 107 0.42 0 1
22 108 0.60 1 1
22 109 0.48 0 1
22 110 0.58 1 1
22 111 0.50 0 0
22 112 0.48 0 1
22 113 0.42 0 1
22 114 0.50 0 0
22 115 0.54 1 1
22 116 0.40 0 1
22 117 0.60 1 1
22 118 0.42 0 1
22 119 0.52 1 1
22 120 0.40 0 1
22 121 0.54 1 1
22 122 0.42 0 1
22 123 0.54 1 1
22 124 0.58 1 1
22 125 0.48 0 1
22 126 0.60 1 1
22 127 0.54 1 1
22 128 0.48 0 1
22 129 0.52 0 0
22 130 0.58 1 1
22 131 0.52 1 1
22 132 0.52 1 1
22 133 0.58 1 1
22 134 0.42 0 1
22 135 0.50 0 0
22 136 0.42 0 1
22 137 0.46 0 1
22 138 0.52 0 0
22 139 0.42 0 1
22 140 0.42 0 1
22 141 0.60 1 1
22 142 0.52 1 1
22 143 0.60 1 1
22 144 0.40 0 1
22 145 0.58 1 1
22 146 0.52 1 1
22 147 0.46 0 1
22 148 0.52 1 1
22 149 0.48 0 1
22 150 0.54 1 1
22 151 0.48 0 1
22 152 0.42 0 1
22 153 0.54 0 0
22 154 0.58 1 1
22 155 0.46 1 0
22 156 0.50 1 1
22 157 0.46 0 1
22 158 0.54 1 1
22 159 0.48 0 1
22 160 0.58 1 1
22 161 0.60 1 1
22 162 0.54 1 1
22 163 0.58 1 1
22 164 0.48 0 1
22 165 0.50 0 0
22 166 0.60 1 1
22 167 0.40 0 1
22 168 0.54 1 1
22 169 0.58 0 0
22 170 0.54 1 1
22 171 0.40 0 1
22 172 0.54 1 1
22 173 0.58 1 1
22 174 0.48 0 1
22 175 0.40 0 1
22 176 0.42 0 1
22 177 0.60 1 1
22 178 0.40 0 1
22 179 0.54 0 0
22 180 0.52 1 1
22 181 0.58 1 1
22 182 0.52 1 1
22 183 0.48 1 0
22 184 0.50 0 0
22 185 0.40 0 1
22 186 0.40 0 1
22 187 0.42 0 1
22 188 0.40 0 1
22 189 0.50 0 0
22 190 0.60 1 1
22 191 0.46 0 1
22 192 0.58 1 1
22 193 0.46 0 1
22 194 0.52 0 0
22 195 0.60 1 1
22 196 0.52 1 1
22 197 0.48 0 1
22 198 0.58 1 1
22 199 0.58 1 1
22 200 0.60 1 1
22 201 0.40 0 1
22 202 0.42 0 1
22 203 0.52 0 0
22 204 0.54 1 1
22 205 0.50 0 0
22 206 0.54 1 1
22 207 0.50 1 1
22 208 0.46 0 1
22 209 0.46 0 1
22 210 0.60 1 1
22 211 0.42 0 1
22 212 0.50 0 0
22 213 0.46 0 1
22 214 0.50 0 0
22 215 0.40 0 1
22 216 0.58 1 1
22 217 0.50 0 0
22 218 0.42 0 1
22 219 0.60 1 1
22 220 0.46 0 1
22 221 0.52 1 1
22 222 0.54 1 1
22 223 0.50 0 0
22 224 0.60 1 1
22 225 0.54 0 0
