SubNo TrialNo WhiteProp Resp Ac
24 1 0.42 0 1
24 2 0.60 1 1
24 3 0.54 1 1
24 4 0.46 0 1
24 5 0.40 0 1
24 6 0.54 1 1
24 7 0.50 1 1
24 8 0.52 1 1
24 9 0.54 1 1
24 10 0.48 0 1
24 11 0.54 1 1
24 12 0.60 1 1
24 13 0.52 0 0
24 14 0.58 1 1
24 15 0.48 0 1
24 16 0.48 0 1
24 17 0.60 1 1
24 18 0.40 0 1
24 19 0.58 1 1
24 20 0.54 1 1
24 21 0.48 0 1
24 22 0.58 1 1
24 23 0.50 0 0
24 24 0.58 0 0
24 25 0.40 0 1
24 26 0.48 0 1
24 27 0.48 0 1
24 28 0.42 0 1
24 29 0.60 1 1
24 30 0.54 1 1
24 31 0.58 1 1
24 32 0.54 1 1
24 33 0.42 0 1
24 34 0.42 0 1
24 35 0.50 1 1
24 36 0.48 0 1
24 37 0.54 1 1
24 38 0.50 0 0
24 39 0.42 0 1
24 40 0.50 0 0
24 41 0.54 1 1
24 42 0.52 0 0
24 43 0.46 1 0
24 44 0.58 1 1
24 45 0.40 0 1
24 46 0.58 1 1
24 47 0.46 0 1
24 48 0.52 1 1
24 49 0.48 0 1
24 50 0.40 0 1
24 51 0.52 1 1
24 52 0.58 1 1
24 53 0.52 1 1
24 54 0.46 0 1
24 55 0.40 0 1
24 56 0.52 1 1
24 57 0.50 0 0
24 58 0.40 0 1
24 59 0.60 1 1
24 60 0.50 0 0
24 61 0.54 1 1
24 62 0.60 1 1
24 63 0.48 0 1
24 64 0.50 0 0
24 65 0.58 1 1
24 66 0.46 0 1
24 67 0.46 0 1
24 68 0.52 1 1
24 69 0.50 0 0
24 70 0.54 1 1
24 71 0.46 0 1
24 72 0.58 1 1
24 73 0.60 1 1
24 74 0.54 1 1
24 75 0.54 1 1
24 76 0.40 0 1
24 77 0.52 1 1
24 78 0.52 0 0
24 79 0.40 0 1
24 80 0.40 0 1
24 81 0.46 0 1
24 82 0.50 0 0
24 83 0.54 0 0
24 84 0.46 0 1
24 85 0.50 0 0
24 86 0.60 1 1
24 87 0.48 0 1
24 88 0.52 0 0
24 89 0.42 0 1
24 90 0.40 0 1
24 91 0.40 0 1
24 92 0.40 0 1
24 93 0.48 0 1
24 94 0.52 1 1
24 95 0.52 1 1
24 96 0.52 0 0
24 97 0.50 0 0
24 98 0.48 1 0
24 99 0.40 0 1
24 100 0.46 0 1
24 101 0.42 0 1
24 102 0.58 1 1
24 103 0.48 1 0
24 104 0.48 0 1
24 105 0.60 1 1
24 106 0.42 0 1
24 107 0.50 0 0
24 108 0.42 0 1
24 109 0.42 0 1
24 110 0.46 0 1
24 111 0.42 0 1
24 112 0.60 1 1
24 113 0.54 1 1
24 114 0.48 1 0
24 115 0.40 0 1
24 116 0.50 0 0
24 117 0.40 0 1
24 118 0.52 1 1
24 119 0.54 1 1
24 120 0.40 0 1
24 121 0.58 1 1
24 122 0.52 1 1
24 123 0.46 1 0
24 124 0.60 1 1
24 125 0.40 0 1
24 126 0.40 0 1
24 127 0.52 0 0
24 128 0.52 1 1
24 129 0.40 0 1
24 130 0.42 0 1
24 131 0.52 1 1
24 132 0.48 1 0
24 133 0.54 1 1
24 134 0.60 1 1
24 135 0.54 1 1
24 136 0.42 0 1
24 137 0.50 0 0
24 138 0.60 1 1
24 139 0.52 1 1
24 140 0.54 1 1
24 141 0.42 0 1
24 142 0.50 1 1
24 143 0.58 1 1
24 144 0.42 0 1
24 145 0.46 0 1
24 146 0.58 1 1
24 147 0.50 1 1
24 148 0.50 0 0
24 149 0.52 1 1
24 150 0.40 0 1
24 151 0.54 1 1
24 152 0.40 0 1
24 153 0.46 0 1
24 154 0.60 1 1
24 155 0.46 0 1
24 156 0.60 1 1
24 157 0.50 1 1
24 158 0.54 1 1
24 159 0.42 0 1
24 160 0.58 1 1
24 161 0.60 1 1
24 162 0.60 1 1
24 163 0.50 0 0
24 164 0.60 1 1
24 165 0.50 0 0
24 166 0.52 0 0
24 167 0.42 0 1
24 168 0.48 0 1
24 169 0.46 0 1
24 170 0.42 0 1
24 171 0.60 1 1
24 172 0.60 1 1
24 173 0.58 1 1
24 174 0.50 0 0
24 175 0.50 0 0
24 176 0.50 0 0
24 177 0.54 0 0
24 178 0.52 0 0
24 179 0.58 1 1
24 180 0.42 0 1
24 181 0.46 0 1
24 182 0.46 0 1
24 183 0.60 1 1
24 184 0.48 0 1
24 185 0.60 1 1
24 186 0.42 0 1
24 187 0.60 1 1
24 188 0.54 1 1
24 189 0.46 0 1
24 190 0.40 0 1
24 191 0.58 1 1
24 192 0.50 0 0
24 193 0.58 1 1
24 194 0.46 0 1
24 195 0.42 0 1
24 196 0.46 0 1
24 197 0.48 0 1
24 198 0.58 1 1
24 199 0.42 0 1
24 200 0.46 0 1
24 201 0.40 0 1
24 202 0.52 1 1
24 203 0.58 1 1
24 204 0.42 0 1
24 205 0.48 0 1
24 206 0.54 0 0
24 207 0.40 0 1
24 208 0.52 0 0
24 209 0.54 0 0
24 210 0.58 1 1
24 211 0.60 1 1
24 212 0.42 0 1
24 213 0.48 0 1
24 214 0.46 0 1
24 215 0.42 0 1
24 216 0.48 0 1
24 217 0.60 1 1
24 218 0.46 0 1
24 219 0.48 0 1
24 220 0.58 1 1
24 221 0.58 1 1
24 222 0.46 0 1
24 223 0.48 0 1
24 224 0.58 1 1
24 225 0.48 0 1
