SubNo TrialNo WhiteProp Resp Ac
18 1 0.54 1 1
18 2 0.40 0 1
18 3 0.46 0 1
18 4 0.58 1 1
18 5 0.40 1 0
18 6 0.60 1 1
18 7 0.46 0 1
18 8 0.40 0 1
18 9 0.46 0 1
18 10 0.52 1 1
18 11 0.54 1 1
18 12 0.46 1 0
18 13 0.58 1 1
18 14 0.48 1 0
18 15 0.40 0 1
18 16 0.42 0 1
18 17 0.52 0 0
18 18 0.50 0 0
18 19 0.52 0 0
18 20 0.40 0 1
18 21 0.58 1 1
18 22 0.58 1 1
18 23 0.52 1 1
18 24 0.54 1 1
18 25 0.40 0 1
18 26 0.50 1 1
18 27 0.58 1 1
18 28 0.46 1 0
18 29 0.48 1 0
18 30 0.60 1 1
18 31 0.60 1 1
18 32 0.40 0 1
18 33 0.50 1 1
18 34 0.54 1 1
18 35 0.50 0 0
18 36 0.52 1 1
18 37 0.60 1 1
18 38 0.60 1 1
18 39 0.52 1 1
18 40 0.52 0 0
18 41 0.48 0 1
18 42 0.40 0 1
18 43 0.50 0 0
18 44 0.58 1 1
18 45 0.50 0 0
18 46 0.58 1 1
18 47 0.48 0 1
18 48 0.50 0 0
18 49 0.50 0 0
18 50 0.52 0 0
18 51 0.54 1 1
18 52 0.54 1 1
18 53 0.54 1 1
18 54 0.60 1 1
18 55 0.42 0 1
18 56 0.48 0 1
18 57 0.46 0 1
18 58 0.58 1 1
18 59 0.52 1 1
18 60 0.46 0 1
18 61 0.46 0 1
18 62 0.42 0 1
18 63 0.48 0 1
18 64 0.48 0 1
18 65 0.42 0 1
18 66 0.50 1 1
18 67 0.40 0 1
18 68 0.42 0 1
18 69 0.42 0 1
18 70 0.52 1 1
18 71 0.50 0 0
18 72 0.40 0 1
18 73 0.60 1 1
18 74 0.48 0 1
18 75 0.42 0 1
18 76 0.52 1 1
18 77 0.54 1 1
18 78 0.50 0 0
18 79 0.50 0 0
18 80 0.48 0 1
18 81 0.48 0 1
18 82 0.60 1 1
18 83 0.60 1 1
18 84 0.46 0 1
18 85 0.48 0 1
18 86 0.40 0 1
18 87 0.58 1 1
18 88 0.42 0 1
18 89 0.46 0 1
18 90 0.40 0 1
18 91 0.42 0 1
18 92 0.54 1 1
18 93 0.54 1 1
18 94 0.48 1 0
18 95 0.42 0 1
18 96 0.48 0 1
18 97 0.54 1 1
18 98 0.54 1 1
18 99 0.58 1 1
18 100 0.60 1 1
18 101 0.40 0 1
18 102 0.46 0 1
18 103 0.46 0 1
18 104 0.48 0 1
18 105 0.54 1 1
18 106 0.52 0 0
18 107 0.58 1 1
18 108 0.48 0 1
18 109 0.60 1 1
18 110 0.50 0 0
18 111 0.42 0 1
18 112 0.60 1 1
18 113 0.46 0 1
18 114 0.46 0 1
18 115 0.52 1 1
18 116 0.58 1 1
18 117 0.60 1 1
18 118 0.48 0 1
18 119 0.60 1 1
18 120 0.58 1 1
18 121 0.46 0 1
18 122 0.60 1 1
18 123 0.58 1 1
18 124 0.54 1 1
18 125 0.60 1 1
18 126 0.42 0 1
18 127 0.46 0 1
18 128 0.48 0 1
18 129 0.52 0 0
18 130 0.52 1 1
18 131 0.50 1 1
18 132 0.48 0 1
18 133 0.54 1 1
18 134 0.54 0 0
18 135 0.58 1 1
18 136 0.40 0 1
18 137 0.50 0 0
18 138 0.58 1 1
18 139 0.48 0 1
18 140 0.48 0 1
18 141 0.54 1 1
18 142 0.54 1 1
18 143 0.40 0 1
18 144 0.40 0 1
18 145 0.42 0 1
18 146 0.50 1 1
18 147 0.52 0 0
18 148 0.46 0 1
18 149 0.50 0 0
18 150 0.54 1 1
18 151 0.52 1 1
18 152 0.58 1 1
18 153 0.60 1 1
18 154 0.48 1 0
18 155 0.40 0 1
18 156 0.46 0 1
18 157 0.58 1 1
18 158 0.42 0 1
18 159 0.40 0 1
18 160 0.46 0 1
18 161 0.52 0 0
18 162 0.52 1 1
18 163 0.50 0 0
18 164 0.40 0 1
18 165 0.40 0 1
18 166 0.46 0 1
18 167 0.58 1 1
18 168 0.40 0 1
18 169 0.48 0 1
18 170 0.60 1 1
18 171 0.42 0 1
18 172 0.58 1 1
18 173 0.52 0 0
18 174 0.48 0 1
18 175 0.50 0 0
18 176 0.52 0 0
18 177 0.50 0 0
18 178 0.46 0 1
18 179 0.60 1 1
18 180 0.52 0 0
18 181 0.54 1 1
18 182 0.42 0 1
18 183 0.40 0 1
18 184 0.48 0 1
18 185 0.42 0 1
18 186 0.50 1 1
18 187 0.58 1 1
18 188 0.50 0 0
18 189 0.46 0 1
18 190 0.58 1 1
18 191 0.50 1 1
18 192 0.52 1 1
18 193 0.42 0 1
18 194 0.40 0 1
18 195 0.42 0 1
18 196 0.42 0 1
18 197 0.60 1 1
18 198 0.42 0 1
18 199 0.60 1 1
18 200 0.60 1 1
18 201 0.42 0 1
18 202 0.54 1 1
18 203 0.42 0 1
18 204 0.54 1 1
18 205 0.42 0 1
18 206 0.40 0 1
18 207 0.54 1 1
18 208 0.42 0 1
18 209 0.48 1 0
18 210 0.52 1 1
18 211 0.58 1 1
18 212 0.40 0 1
18 213 0.46 0 1
18 214 0.54 1 1
18 215 0.54 1 1
18 216 0.50 1 1
18 217 0.58 1 1
18 218 0.60 1 1
18 219 0.52 1 1
18 220 0.58 1 1
18 221 0.46 0 1
18 222 0.60 1 1
18 223 0.60 1 1
18 224 0.46 0 1
18 225 0.50 0 0
