SubNo TrialNo WhiteProp Resp Ac
21 1 0.42 0 1
21 2 0.46 0 1
21 3 0.40 0 1
21 4 0.46 0 1
21 5 0.42 0 1
21 6 0.50 1 1
21 7 0.48 1 0
21 8 0.40 0 1
21 9 0.54 1 1
21 10 0.60 1 1
21 11 0.46 0 1
21 12 0.50 0 0
21 13 0.50 0 0
21 14 0.58 1 1
21 15 0.46 0 1
21 16 0.58 0 0
21 17 0.42 0 1
21 18 0.54 1 1
21 19 0.50 1 1
21 20 0.58 1 1
21 21 0.52 1 1
21 22 0.58 1 1
21 23 0.54 1 1
21 24 0.54 1 1
21 25 0.42 0 1
21 26 0.58 1 1
21 27 0.52 1 1
21 28 0.54 1 1
21 29 0.48 0 1
21 30 0.42 0 1
21 31 0.42 0 1
21 32 0.52 0 0
21 33 0.58 1 1
21 34 0.54 1 1
21 35 0.54 1 1
21 36 0.60 1 1
21 37 0.54 1 1
21 38 0.42 0 1
21 39 0.54 0 0
21 40 0.48 0 1
21 41 0.42 0 1
21 42 0.46 0 1
21 43 0.52 1 1
21 44 0.58 1 1
21 45 0.52 1 1
21 46 0.40 0 1
21 47 0.50 1 1
21 48 0.50 1 1
21 49 0.52 1 1
21 50 0.40 0 1
21 51 0.54 1 1
21 52 0.42 0 1
21 53 0.52 0 0
21 54 0.48 0 1
21 55 0.54 1 1
21 56 0.46 0 1
21 57 0.58 1 1
21 58 0.46 0 1
21 59 0.50 0 0
21 60 0.40 0 1
21 61 0.54 1 1
21 62 0.48 1 0
21 63 0.50 1 1
21 64 0.48 1 0
21 65 0.60 1 1
21 66 0.48 0 1
21 67 0.52 0 0
21 68 0.60 1 1
21 69 0.58 1 1
21 70 0.46 0 1
21 71 0.52 0 0
21 72 0.60 1 1
21 73 0.46 0 1
21 74 0.46 0 1
21 75 0.42 0 1
21 76 0.50 0 0
21 77 0.58 1 1
21 78 0.52 1 1
21 79 0.50 1 1
21 80 0.48 0 1
21 81 0.48 0 1
21 82 0.48 0 1
21 83 0.50 0 0
21 84 0.52 0 0
21 85 0.40 0 1
21 86 0.60 1 1
21 87 0.46 0 1
21 88 0.50 0 0
21 89 0.60 1 1
21 90 0.40 0 1
21 91 0.42 0 1
21 92 0.54 0 0
21 93 0.40 0 1
21 94 0.46 1 0
21 95 0.48 1 0
21 96 0.40 0 1
21 97 0.54 1 1
21 98 0.40 0 1
21 99 0.40 0 1
21 100 0.60 1 1
21 101 0.58 1 1
21 102 0.46 0 1
21 103 0.46 0 1
21 104 0.60 1 1
21 105 0.46 0 1
21 106 0.42 0 1
21 107 0.48 0 1
21 108 0.46 0 1
21 109 0.52 1 1
21 110 0.50 1 1
21 111 0.46 0 1
21 112 0.52 0 0
21 113 0.60 1 1
21 114 0.50 1 1
21 115 0.58 1 1
21 116 0.54 1 1
21 117 0.48 0 1
21 118 0.54 1 1
21 119 0.54 1 1
21 120 0.48 0 1
21 121 0.40 0 1
21 122 0.50 0 0
21 123 0.58 1 1
21 124 0.42 0 1
21 125 0.46 0 1
21 126 0.48 0 1
21 127 0.52 1 1
21 128 0.40 0 1
21 129 0.60 1 1
21 130 0.52 1 1
21 131 0.42 0 1
21 132 0.60 1 1
21 133 0.46 0 1
21 134 0.50 0 0
21 135 0.52 0 0
21 136 0.60 1 1
21 137 0.46 0 1
21 138 0.60 0 0
21 139 0.58 1 1
21 140 0.46 0 1
21 141 0.40 0 1
21 142 0.58 0 0
21 143 0.42 0 1
21 144 0.54 0 0
21 145 0.50 0 0
21 146 0.52 0 0
21 147 0.42 0 1
21 148 0.46 0 1
21 149 0.40 0 1
21 150 0.48 0 1
21 151 0.50 0 0
21 152 0.60 1 1
21 153 0.60 1 1
21 154 0.40 0 1
21 155 0.40 0 1
21 156 0.48 0 1
21 157 0.52 0 0
21 158 0.52 0 0
21 159 0.46 0 1
21 160 0.48 0 1
21 161 0.42 0 1
21 162 0.54 1 1
21 163 0.52 1 1
21 164 0.54 0 0
21 165 0.48 0 1
21 166 0.42 0 1
21 167 0.42 0 1
21 168 0.60 1 1
21 169 0.58 1 1
21 170 0.58 1 1
21 171 0.42 0 1
21 172 0.60 1 1
21 173 0.54 1 1
21 174 0.46 0 1
21 175 0.58 1 1
21 176 0.40 0 1
21 177 0.60 1 1
21 178 0.42 0 1
21 179 0.46 0 1
21 180 0.58 1 1
21 181 0.54 1 1
21 182 0.42 0 1
21 183 0.52 0 0
21 184 0.40 0 1
21 185 0.60 1 1
21 186 0.54 1 1
21 187 0.48 0 1
21 188 0.48 0 1
21 189 0.48 0 1
21 190 0.60 1 1
21 191 0.54 1 1
21 192 0.58 1 1
21 193 0.58 1 1
21 194 0.50 1 1
21 195 0.50 0 0
21 196 0.60 1 1
21 197 0.58 0 0
21 198 0.42 0 1
21 199 0.60 1 1
21 200 0.42 0 1
21 201 0.40 0 1
21 202 0.50 0 0
21 203 0.48 0 1
21 204 0.42 0 1
21 205 0.58 1 1
21 206 0.58 1 1
21 207 0.52 0 0
21 208 0.40 0 1
21 209 0.50 0 0
21 210 0.60 1 1
21 211 0.50 0 0
21 212 0.40 0 1
21 213 0.48 1 0
21 214 0.40 0 1
21 215 0.52 1 1
21 216 0.54 1 1
21 217 0.50 0 0
21 218 0.58 1 1
21 219 0.60 1 1
21 220 0.48 0 1
21 221 0.40 0 1
21 222 0.52 1 1
21 223 0.50 1 1
21 224 0.40 0 1
21 225 0.52 1 1
