SubNo TrialNo WhiteProp Resp Ac
17 1 0.50 1 1
17 2 0.40 0 1
17 3 0.40 0 1
17 4 0.54 1 1
17 5 0.40 0 1
17 6 0.50 1 1
17 7 0.42 0 1
17 8 0.54 1 1
17 9 0.46 0 1
17 10 0.52 1 1
17 11 0.50 0 0
17 12 0.46 1 0
17 13 0.52 0 0
17 14 0.50 1 1
17 15 0.42 0 1
17 16 0.54 0 0
17 17 0.54 1 1
17 18 0.48 0 1
17 19 0.48 0 1
17 20 0.50 1 1
17 21 0.48 0 1
17 22 0.48 0 1
17 23 0.60 1 1
17 24 0.52 1 1
17 25 0.46 0 1
17 26 0.50 0 0
17 27 0.58 1 1
17 28 0.60 1 1
17 29 0.48 0 1
17 30 0.48 0 1
17 31 0.58 1 1
17 32 0.40 0 1
17 33 0.46 0 1
17 34 0.58 1 1
17 35 0.46 0 1
17 36 0.54 1 1
17 37 0.48 0 1
17 38 0.60 1 1
17 39 0.54 1 1
17 40 0.50 1 1
17 41 0.54 0 0
17 42 0.54 0 0
17 43 0.54 0 0
17 44 0.50 0 0
17 45 0.54 1 1
17 46 0.46 0 1
17 47 0.52 1 1
17 48 0.48 0 1
17 49 0.48 0 1
17 50 0.58 1 1
17 51 0.50 0 0
17 52 0.52 1 1
17 53 0.50 0 0
17 54 0.60 1 1
17 55 0.42 0 1
17 56 0.50 0 0
17 57 0.60 1 1
17 58 0.40 0 1
17 59 0.52 1 1
17 60 0.52 0 0
17 61 0.54 1 1
17 62 0.54 1 1
17 63 0.58 1 1
17 64 0.52 1 1
17 65 0.58 1 1
17 66 0.60 1 1
17 67 0.40 0 1
17 68 0.40 0 1
17 69 0.40 0 1
17 70 0.40 0 1
17 71 0.52 0 0
17 72 0.60 1 1
17 73 0.60 1 1
17 74 0.46 0 1
17 75 0.42 0 1
17 76 0.60 1 1
17 77 0.42 0 1
17 78 0.46 0 1
17 79 0.60 1 1
17 80 0.58 1 1
17 81 0.40 0 1
17 82 0.50 1 1
17 83 0.40 0 1
17 84 0.40 0 1
17 85 0.60 1 1
17 86 0.52 1 1
17 87 0.50 1 1
17 88 0.48 0 1
17 89 0.54 1 1
17 90 0.54 1 1
17 91 0.46 0 1
17 92 0.58 1 1
17 93 0.48 0 1
17 94 0.54 1 1
17 95 0.42 0 1
17 96 0.40 0 1
17 97 0.60 1 1
17 98 0.60 1 1
17 99 0.52 1 1
17 100 0.52 1 1
17 101 0.46 0 1
17 102 0.48 0 1
17 103 0.46 0 1
17 104 0.42 0 1
17 105 0.60 1 1
17 106 0.60 1 1
17 107 0.42 0 1
17 108 0.42 0 1
17 109 0.60 1 1
17 110 0.60 1 1
17 111 0.54 1 1
17 112 0.58 1 1
17 113 0.48 1 0
17 114 0.40 1 0
17 115 0.50 1 1
17 116 0.60 1 1
17 117 0.40 0 1
17 118 0.50 0 0
17 119 0.58 1 1
17 120 0.58 1 1
17 121 0.46 1 0
17 122 0.52 1 1
17 123 0.52 0 0
17 124 0.40 0 1
17 125 0.48 0 1
17 126 0.60 1 1
17 127 0.42 0 1
17 128 0.58 1 1
17 129 0.60 1 1
17 130 0.42 0 1
17 131 0.46 0 1
17 132 0.54 0 0
17 133 0.60 1 1
17 134 0.42 0 1
17 135 0.54 1 1
17 136 0.58 1 1
17 137 0.58 1 1
17 138 0.42 0 1
17 139 0.52 0 0
17 140 0.48 0 1
17 141 0.50 0 0
17 142 0.50 0 0
17 143 0.42 0 1
17 144 0.58 1 1
17 145 0.54 1 1
17 146 0.54 1 1
17 147 0.58 1 1
17 148 0.54 1 1
17 149 0.48 0 1
17 150 0.52 1 1
17 151 0.48 0 1
17 152 0.60 1 1
17 153 0.48 1 0
17 154 0.40 0 1
17 155 0.40 0 1
17 156 0.42 0 1
17 157 0.60 1 1
17 158 0.52 1 1
17 159 0.46 0 1
17 160 0.50 0 0
17 161 0.58 1 1
17 162 0.52 1 1
17 163 0.42 0 1
17 164 0.50 0 0
17 165 0.42 0 1
17 166 0.48 0 1
17 167 0.48 0 1
17 168 0.52 1 1
17 169 0.46 0 1
17 170 0.52 1 1
17 171 0.58 1 1
17 172 0.48 1 0
17 173 0.46 0 1
17 174 0.40 0 1
17 175 0.48 0 1
17 176 0.54 1 1
17 177 0.48 0 1
17 178 0.46 0 1
17 179 0.50 0 0
17 180 0.46 0 1
17 181 0.50 1 1
17 182 0.46 1 0
17 183 0.60 1 1
17 184 0.40 0 1
17 185 0.58 1 1
17 186 0.46 0 1
17 187 0.40 0 1
17 188 0.46 0 1
17 189 0.42 0 1
17 190 0.58 1 1
17 191 0.50 1 1
17 192 0.60 1 1
17 193 0.52 1 1
17 194 0.42 0 1
17 195 0.58 1 1
17 196 0.40 0 1
17 197 0.46 0 1
17 198 0.42 0 1
17 199 0.54 1 1
17 200 0.58 1 1
17 201 0.42 0 1
17 202 0.50 1 1
17 203 0.50 1 1
17 204 0.58 1 1
17 205 0.50 0 0
17 206 0.42 0 1
17 207 0.54 1 1
17 208 0.46 0 1
17 209 0.42 0 1
17 210 0.58 1 1
17 211 0.58 1 1
17 212 0.46 1 0
17 213 0.42 0 1
17 214 0.40 0 1
17 215 0.40 0 1
17 216 0.48 1 0
17 217 0.54 1 1
17 218 0.42 0 1
17 219 0.52 1 1
17 220 0.46 0 1
17 221 0.52 1 1
17 222 0.52 1 1
17 223 0.52 1 1
17 224 0.48 0 1
17 225 0.40 0 1
