SubNo TrialNo WhiteProp Resp Ac
23 1 0.50 0 0
23 2 0.52 0 0
23 3 0.48 0 1
23 4 0.46 0 1
23 5 0.42 0 1
23 6 0.60 1 1
23 7 0.48 0 1
23 8 0.58 1 1
23 9 0.40 0 1
23 10 0.42 0 1
23 11 0.40 0 1
23 12 0.46 1 0
23 13 0.46 1 0
23 14 0.58 1 1
23 15 0.42 0 1
23 16 0.40 0 1
23 17 0.58 1 1
23 18 0.42 0 1
23 19 0.40 0 1
23 20 0.60 1 1
23 21 0.40 0 1
23 22 0.60 1 1
23 23 0.54 1 1
23 24 0.48 1 0
23 25 0.60 1 1
23 26 0.58 1 1
23 27 0.52 1 1
23 28 0.50 1 1
23 29 0.46 0 1
23 30 0.42 0 1
23 31 0.52 0 0
23 32 0.40 0 1
23 33 0.40 0 1
23 34 0.52 1 1
23 35 0.40 0 1
23 36 0.42 0 1
23 37 0.60 1 1
23 38 0.60 1 1
23 39 0.60 1 1
23 40 0.52 1 1
23 41 0.50 1 1
23 42 0.52 0 0
23 43 0.40 0 1
23 44 0.54 1 1
23 45 0.42 0 1
23 46 0.42 0 1
23 47 0.42 0 1
23 48 0.40 0 1
23 49 0.46 1 0
23 50 0.50 0 0
23 51 0.54 1 1
23 52 0.46 1 0
23 53 0.40 0 1
23 54 0.58 1 1
23 55 0.52 1 1
23 56 0.48 0 1
23 57 0.48 1 0
23 58 0.48 1 0
23 59 0.58 1 1
23 60 0.54 1 1
23 61 0.60 1 1
23 62 0.52 1 1
23 63 0.42 0 1
23 64 0.40 0 1
23 65 0.58 1 1
23 66 0.50 1 1
23 67 0.58 1 1
23 68 0.50 1 1
23 69 0.50 0 0
23 70 0.50 0 0
23 71 0.58 1 1
23 72 0.48 0 1
23 73 0.54 1 1
23 74 0.60 1 1
23 75 0.52 1 1
23 76 0.46 0 1
23 77 0.48 0 1
23 78 0.48 0 1
23 79 0.48 0 1
23 80 0.48 1 0
23 81 0.60 0 0
23 82 0.50 1 1
23 83 0.46 0 1
23 84 0.54 1 1
23 85 0.58 1 1
23 86 0.58 1 1
23 87 0.58 1 1
23 88 0.52 1 1
23 89 0.50 0 0
23 90 0.46 0 1
23 91 0.54 1 1
23 92 0.60 1 1
23 93 0.58 1 1
23 94 0.54 1 1
23 95 0.40 0 1
23 96 0.48 0 1
23 97 0.60 1 1
23 98 0.60 1 1
23 99 0.52 1 1
23 100 0.60 1 1
23 101 0.42 0 1
23 102 0.52 0 0
23 103 0.46 0 1
23 104 0.54 1 1
23 105 0.52 1 1
23 106 0.48 0 1
23 107 0.54 1 1
23 108 0.60 1 1
23 109 0.40 0 1
23 110 0.58 1 1
23 111 0.48 0 1
23 112 0.40 0 1
23 113 0.60 1 1
23 114 0.42 0 1
23 115 0.60 1 1
23 116 0.42 0 1
23 117 0.46 0 1
23 118 0.50 0 0
23 119 0.40 0 1
23 120 0.60 1 1
23 121 0.50 0 0
23 122 0.54 1 1
23 123 0.58 1 1
23 124 0.46 0 1
23 125 0.46 0 1
23 126 0.48 0 1
23 127 0.46 0 1
23 128 0.48 0 1
23 129 0.42 0 1
23 130 0.52 1 1
23 131 0.60 1 1
23 132 0.46 0 1
23 133 0.52 1 1
23 134 0.48 0 1
23 135 0.54 1 1
23 136 0.58 1 1
23 137 0.54 1 1
23 138 0.54 1 1
23 139 0.52 1 1
23 140 0.48 1 0
23 141 0.50 0 0
23 142 0.58 1 1
23 143 0.42 0 1
23 144 0.46 0 1
23 145 0.40 0 1
23 146 0.58 1 1
23 147 0.50 0 0
23 148 0.52 1 1
23 149 0.60 1 1
23 150 0.54 1 1
23 151 0.42 0 1
23 152 0.48 0 1
23 153 0.50 0 0
23 154 0.52 1 1
23 155 0.46 0 1
23 156 0.42 0 1
23 157 0.54 0 0
23 158 0.50 1 1
23 159 0.50 0 0
23 160 0.46 0 1
23 161 0.52 1 1
23 162 0.50 0 0
23 163 0.60 1 1
23 164 0.58 1 1
23 165 0.48 0 1
23 166 0.52 1 1
23 167 0.54 1 1
23 168 0.50 0 0
23 169 0.58 1 1
23 170 0.42 0 1
23 171 0.42 0 1
23 172 0.50 0 0
23 173 0.40 0 1
23 174 0.54 1 1
23 175 0.52 1 1
23 176 0.58 1 1
23 177 0.40 0 1
23 178 0.60 1 1
23 179 0.50 1 1
23 180 0.48 0 1
23 181 0.54 1 1
23 182 0.46 0 1
23 183 0.54 1 1
23 184 0.40 0 1
23 185 0.58 1 1
23 186 0.42 0 1
23 187 0.50 0 0
23 188 0.42 0 1
23 189 0.58 1 1
23 190 0.60 1 1
23 191 0.46 0 1
23 192 0.60 1 1
23 193 0.42 0 1
23 194 0.46 0 1
23 195 0.42 0 1
23 196 0.58 1 1
23 197 0.50 0 0
23 198 0.46 0 1
23 199 0.50 0 0
23 200 0.52 1 1
23 201 0.58 1 1
23 202 0.40 0 1
23 203 0.46 0 1
23 204 0.46 0 1
23 205 0.54 1 1
23 206 0.40 0 1
23 207 0.54 1 1
23 208 0.52 1 1
23 209 0.52 1 1
23 210 0.46 0 1
23 211 0.54 1 1
23 212 0.48 1 0
23 213 0.48 0 1
23 214 0.42 0 1
23 215 0.60 1 1
23 216 0.54 1 1
23 217 0.54 1 1
23 218 0.48 1 0
23 219 0.40 0 1
23 220 0.40 0 1
23 221 0.48 0 1
23 222 0.50 0 0
23 223 0.52 1 1
23 224 0.40 0 1
23 225 0.42 0 1
