SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
6 1 0 1 0 0 0 0 8729
6 2 0 0 0 1 10 10 3532
6 3 0 0 0 1 10 20 3799
6 4 0 1 1 1 0 20 3617
6 5 0 0 0 1 0 20 6177
6 6 0 0 1 0 0 20 3616
6 7 0 0 0 1 10 30 2250
6 8 0 1 1 1 10 40 1116
6 9 0 0 1 0 0 40 1450
6 10 0 1 1 1 0 40 6716
6 11 0 0 1 0 0 40 7633
6 12 0 1 1 1 10 50 23850
6 13 0 0 0 1 10 60 4500
6 14 0 0 0 1 10 70 1050
6 15 0 0 0 1 10 80 783
6 16 0 0 0 1 10 90 2050
6 17 0 1 1 1 0 90 916
6 18 0 1 0 0 0 90 2233
6 19 0 1 1 1 10 100 1450
6 20 0 0 0 1 10 110 1550
6 21 0 0 0 1 0 110 1366
6 22 0 1 0 0 0 110 1733
6 23 0 0 0 1 0 110 683
6 24 0 0 0 1 0 110 733
6 25 0 0 1 0 10 120 833
6 26 0 1 0 0 0 120 4267
6 27 0 1 1 1 10 130 3617
6 28 0 1 1 1 10 140 850
6 29 0 0 0 1 10 150 2400
6 30 0 1 0 0 0 150 1766
6 31 0 1 1 1 10 160 1450
6 32 0 1 1 1 0 160 7650
6 33 0 1 0 0 0 160 1050
6 34 0 1 1 1 10 170 866
6 35 0 1 1 1 0 170 1333
6 36 0 1 0 0 0 170 833
6 37 0 1 1 1 0 170 1233
6 38 0 1 1 1 10 180 666
6 39 0 1 1 1 0 180 916
6 40 0 1 1 1 0 180 600
6 41 0 0 0 1 0 180 850
6 42 0 0 0 1 10 190 700
6 43 0 0 0 1 10 200 816
6 44 0 0 0 1 10 210 1850
6 45 0 1 1 1 0 210 1066
6 46 0 1 0 0 10 220 1766
6 47 0 0 0 1 10 230 916
6 48 0 0 0 1 0 230 2316
6 49 0 1 1 1 10 240 2066
6 50 0 0 0 1 0 240 1983
6 51 0 1 1 1 10 250 783
6 52 0 0 0 1 10 260 716
6 53 0 0 0 1 0 260 766
6 54 0 0 0 1 0 260 683
6 55 0 0 0 1 0 260 883
6 56 0 0 1 0 0 260 633
6 57 0 1 1 1 0 260 1850
6 58 0 1 0 0 0 260 866
6 59 0 0 1 0 0 260 1800
6 60 0 1 1 1 10 270 5783
6 61 0 1 1 1 0 270 1350
6 62 0 0 0 1 10 280 900
6 63 0 0 0 1 10 290 1150
6 64 0 1 1 1 10 300 7733
6 65 0 0 0 1 0 300 3366
6 66 0 1 1 1 10 310 1816
6 67 0 0 0 1 0 310 2583
6 68 0 1 1 1 10 320 1183
6 69 0 1 1 1 10 330 3050
6 70 0 1 1 1 0 330 2333
6 71 0 1 0 0 10 340 1216
