SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
5 1 1 0 1 0 0 0 3350
5 2 1 1 1 1 10 10 2450
5 3 1 1 1 1 10 20 2066
5 4 1 1 1 1 10 30 1350
5 5 1 0 0 1 0 30 1767
5 6 1 0 1 0 0 30 1016
5 7 1 0 0 1 0 30 1950
5 8 1 1 1 1 10 40 1333
5 9 1 0 0 1 10 50 4716
5 10 1 1 1 1 10 60 1150
5 11 1 1 1 1 10 70 1116
5 12 1 0 0 1 10 80 900
5 13 1 1 1 1 10 90 966
5 14 1 1 1 1 10 100 1133
5 15 1 1 1 1 10 110 1416
5 16 1 0 0 1 10 120 1583
5 17 1 1 1 1 10 130 1016
5 18 1 1 1 1 0 130 983
5 19 1 1 1 1 10 140 1283
5 20 1 1 1 1 10 150 1050
5 21 1 1 1 1 10 160 1350
5 22 1 1 1 1 10 170 1333
5 23 1 0 0 1 10 180 1016
5 24 1 1 1 1 10 190 1616
5 25 1 0 0 1 0 190 8000
5 26 1 1 1 1 10 200 1016
5 27 1 0 0 1 10 210 1650
5 28 1 0 0 1 10 220 1083
5 29 1 0 0 1 10 230 750
5 30 1 1 1 1 0 230 783
5 31 1 1 1 1 10 240 1283
5 32 1 1 1 1 0 240 2150
5 33 1 1 1 1 0 240 1266
5 34 1 0 0 1 10 250 1283
5 35 1 1 1 1 10 260 983
5 36 1 1 1 1 10 270 1516
5 37 1 0 0 1 0 270 1283
5 38 1 0 0 1 10 280 1516
5 39 1 1 1 1 10 290 1333
5 40 1 0 0 1 10 300 1433
5 41 1 1 1 1 10 310 966
5 42 1 0 0 1 10 320 966
5 43 1 1 1 1 0 320 1133
5 44 1 0 0 1 0 320 1316
5 45 1 1 1 1 10 330 1416
5 46 1 0 0 1 0 330 1566
5 47 1 0 1 0 0 330 883
5 48 1 0 0 1 0 330 566
5 49 1 1 1 1 0 330 1766
5 50 1 1 1 1 10 340 1250
5 51 1 0 0 1 10 350 1550
5 52 1 0 0 1 0 350 1033
5 53 1 0 0 1 10 360 1500
5 54 1 0 1 0 0 360 1000
5 55 1 0 0 1 10 370 800
5 56 1 1 1 1 10 380 1266
5 57 1 1 1 1 0 380 850
5 58 1 0 0 1 10 390 1300
5 59 1 1 1 1 10 400 1083
5 60 1 0 0 1 0 400 3100
5 61 1 0 0 1 10 410 1850
5 62 1 1 1 1 10 420 2100
5 63 1 1 1 1 0 420 1550
5 64 1 1 1 1 0 420 1716
5 65 1 1 1 1 10 430 750
5 66 1 1 1 1 10 440 650
5 67 1 0 0 1 10 450 966
5 68 1 0 0 1 10 460 2550
5 69 1 1 1 1 10 470 1100
5 70 1 1 1 1 10 480 1050
5 71 1 1 1 1 0 480 916
5 72 1 1 1 1 10 490 983
5 73 1 0 0 1 0 490 766
5 74 1 1 1 1 10 500 800
5 75 1 0 0 1 0 500 766
5 76 1 1 1 1 0 500 866
5 77 1 0 0 1 10 510 983
5 78 1 0 0 1 10 520 1066
5 79 1 0 0 1 10 530 1866
5 80 1 0 0 1 10 540 2300
5 81 1 0 0 1 0 540 1166
5 82 1 0 0 1 10 550 900
5 83 1 1 1 1 10 560 1000
5 84 1 0 0 1 10 570 1200
5 85 1 1 1 1 0 570 1483
5 86 1 0 1 0 0 570 1183
5 87 1 0 0 1 10 580 2166
5 88 1 1 1 1 0 580 2183
5 89 1 0 0 1 10 590 1333
5 90 1 0 0 1 10 600 1150
5 91 1 1 1 1 0 600 950
5 92 1 0 0 1 10 610 1433
5 93 1 0 0 1 10 620 1183
5 94 1 0 0 1 10 630 1233
5 95 1 0 0 1 10 640 2033
5 96 1 1 1 1 0 640 1916
5 97 1 0 0 1 10 650 983
5 98 1 1 1 1 0 650 1233
5 99 1 0 0 1 0 650 1416
5 100 1 1 1 1 0 650 700
5 101 0 0 1 0 0 650 850
5 102 0 1 1 1 0 650 866
5 103 0 0 0 1 10 660 800
5 104 0 0 0 1 0 660 816
5 105 0 0 1 0 10 670 683
5 106 0 1 0 0 0 670 700
5 107 0 0 1 0 10 680 1300
5 108 0 1 1 1 10 690 1033
5 109 0 0 1 0 10 700 783
5 110 0 1 1 1 10 710 950
5 111 0 1 1 1 10 720 683
