SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
16 1 0 0 1 0 0 0 2700
16 2 0 1 0 0 0 0 1366
16 3 0 0 0 1 10 10 916
16 4 0 0 1 0 0 10 2466
16 5 0 0 0 1 10 20 1316
16 6 0 0 0 1 10 30 950
16 7 0 1 1 1 10 40 1083
16 8 0 0 0 1 10 50 1050
16 9 0 0 0 1 10 60 1700
16 10 0 0 0 1 0 60 1083
16 11 0 1 0 0 0 60 2450
16 12 0 1 1 1 10 70 1666
16 13 0 0 0 1 10 80 866
16 14 0 1 1 1 10 90 1050
16 15 0 0 0 1 10 100 3016
16 16 0 0 0 1 10 110 1133
16 17 0 1 1 1 10 120 883
16 18 0 1 0 0 0 120 1200
16 19 0 0 0 1 0 120 1900
16 20 0 1 0 0 0 120 2900
16 21 0 0 0 1 0 120 1416
16 22 0 1 0 0 0 120 2083
16 23 0 1 1 1 10 130 533
16 24 0 0 0 1 10 140 700
16 25 0 1 1 1 0 140 633
16 26 0 1 1 1 10 150 1850
16 27 0 1 1 1 10 160 666
16 28 0 1 0 0 0 160 1916
16 29 0 1 1 1 10 170 800
16 30 0 0 0 1 10 180 733
16 31 0 1 1 1 0 180 750
16 32 0 0 0 1 10 190 2050
16 33 0 1 1 1 10 200 583
16 34 0 1 0 0 0 200 5600
16 35 0 0 0 1 10 210 816
16 36 0 1 1 1 10 220 1083
16 37 0 0 0 1 10 230 783
16 38 0 1 1 1 10 240 650
16 39 0 0 0 1 10 250 950
16 40 0 0 0 1 10 260 1000
16 41 0 0 0 1 10 270 950
16 42 0 1 1 1 10 280 816
16 43 0 1 1 1 10 290 1816
16 44 0 1 1 1 10 300 950
16 45 0 1 1 1 0 300 666
16 46 0 1 1 1 0 300 617
16 47 0 0 0 1 0 300 783
16 48 0 0 1 0 0 300 466
16 49 0 1 1 1 0 300 850
16 50 0 0 0 1 10 310 833
16 51 0 0 0 1 10 320 1200
16 52 0 1 1 1 10 330 700
16 53 0 0 0 1 10 340 950
16 54 0 1 1 1 10 350 666
16 55 0 0 0 1 10 360 833
16 56 0 0 0 1 10 370 666
16 57 0 1 1 1 10 380 1266
16 58 0 0 0 1 10 390 533
16 59 0 1 1 1 10 400 666
16 60 0 0 0 1 10 410 1100
16 61 0 0 0 1 10 420 883
16 62 0 0 0 1 10 430 916
16 63 0 0 0 1 10 440 650
16 64 0 1 1 1 10 450 833
16 65 0 1 1 1 10 460 1016
16 66 0 1 1 1 10 470 633
16 67 0 1 1 1 10 480 616
16 68 0 0 0 1 10 490 933
16 69 0 1 1 1 10 500 533
16 70 0 0 0 1 10 510 2633
16 71 0 1 1 1 10 520 533
16 72 0 1 1 1 0 520 1016
16 73 0 0 1 0 10 530 983
16 74 0 1 1 1 0 530 1583
16 75 0 0 0 1 0 530 1866
16 76 0 0 0 1 0 530 1416
16 77 0 1 0 0 10 540 1516
16 78 0 0 1 0 10 550 583
16 79 0 0 1 0 10 560 1016
16 80 0 1 0 0 10 570 833
16 81 0 1 0 0 0 570 1600
16 82 0 0 0 1 10 580 716
16 83 0 0 0 1 10 590 1350
16 84 0 0 0 1 0 590 2566
16 85 0 0 1 0 0 590 616
16 86 0 0 0 1 0 590 550
16 87 0 0 1 0 0 590 466
16 88 0 1 1 1 10 600 716
16 89 0 0 0 1 10 610 1000
16 90 0 1 1 1 10 620 1800
16 91 0 1 1 1 0 620 5333
16 92 0 1 1 1 10 630 516
16 93 0 1 1 1 10 640 2766
16 94 0 1 0 0 0 640 1433
16 95 0 1 1 1 10 650 833
16 96 0 0 0 1 10 660 866
16 97 0 1 1 1 10 670 950
16 98 0 0 0 1 10 680 1116
16 99 0 0 0 1 10 690 750
16 100 0 1 1 1 0 690 800
16 101 1 0 1 0 0 690 600
16 102 1 0 1 0 0 690 700
16 103 1 0 0 1 10 700 1883
16 104 1 1 1 1 10 710 816
16 105 1 1 0 0 0 710 750
16 106 1 0 0 1 10 720 1233
16 107 1 0 1 0 0 720 650
16 108 1 0 0 1 10 730 1500
16 109 1 1 1 1 0 730 1466
16 110 1 0 1 0 10 740 650
16 111 1 1 0 0 0 740 750
16 112 1 1 1 1 0 740 800
16 113 1 1 0 0 0 740 1050
16 114 1 1 0 0 0 740 933
16 115 1 1 1 1 10 750 783
16 116 1 0 0 1 10 760 683
16 117 1 0 0 1 10 770 1616
16 118 1 1 1 1 10 780 750
16 119 1 1 1 1 10 790 2133
16 120 1 0 0 1 10 800 1416
16 121 1 1 1 1 0 800 1416
16 122 1 0 1 0 0 800 683
16 123 1 1 0 0 0 800 1750
16 124 1 0 1 0 0 800 1300
16 125 1 0 0 1 10 810 700
16 126 1 1 1 1 10 820 650
16 127 1 1 0 0 0 820 533
16 128 1 1 1 1 0 820 533
16 129 1 1 0 0 10 830 433
16 130 1 1 0 0 0 830 616
16 131 1 1 0 0 0 830 1283
16 132 1 1 0 0 0 830 816
16 133 1 0 0 1 10 840 716
16 134 1 0 0 1 10 850 666
16 135 1 0 0 1 10 860 566
16 136 1 0 0 1 10 870 600
16 137 1 0 0 1 10 880 650
16 138 1 1 1 1 0 880 516
16 139 1 1 0 0 0 880 966
16 140 1 1 1 1 10 890 750
16 141 1 1 1 1 0 890 750
16 142 1 0 1 0 0 890 1133
16 143 1 0 0 1 10 900 800
16 144 1 0 0 1 10 910 533
16 145 1 0 0 1 10 920 550
16 146 1 0 0 1 10 930 833
16 147 1 1 0 0 0 930 783
16 148 1 1 0 0 0 930 700
16 149 1 1 1 1 0 930 1000
16 150 1 0 0 1 10 940 1800
16 151 1 1 0 0 0 940 1650
16 152 1 1 1 1 0 940 1000
16 153 1 0 1 0 0 940 716
16 154 1 0 0 1 10 950 416
16 155 1 0 0 1 0 950 583
16 156 1 1 0 0 0 950 516
16 157 1 1 0 0 0 950 933
16 158 1 0 1 0 0 950 1066
16 159 1 1 1 1 0 950 700
16 160 1 0 1 0 10 960 1216
16 161 1 1 1 1 10 970 800
16 162 1 0 0 1 10 980 950
16 163 1 0 0 1 10 990 1166
16 164 1 0 0 1 0 990 566
16 165 1 0 0 1 10 1000 650
16 166 1 1 1 1 10 1010 783
16 167 1 1 1 1 10 1020 800
16 168 1 0 1 0 10 1030 533
16 169 1 0 0 1 10 1040 550
16 170 1 0 0 1 10 1050 933
16 171 1 0 1 0 0 1050 516
16 172 1 0 0 1 0 1050 533
16 173 1 1 0 0 10 1060 483
16 174 1 0 0 1 10 1070 600
16 175 1 0 0 1 0 1070 1066
16 176 1 1 1 1 0 1070 1016
16 177 1 1 0 0 0 1070 866
16 178 1 0 1 0 0 1070 733
16 179 1 0 1 0 0 1070 600
16 180 1 0 0 1 0 1070 633
16 181 1 0 0 1 10 1080 1050
16 182 1 1 1 1 0 1080 2200
16 183 1 1 1 1 10 1090 1483
16 184 1 1 1 1 10 1100 850
16 185 1 0 0 1 10 1110 933
16 186 1 1 1 1 0 1110 700
16 187 1 1 1 1 10 1120 650
16 188 1 0 0 1 0 1120 1483
16 189 1 1 1 1 0 1120 550
16 190 1 1 0 0 0 1120 550
16 191 1 0 1 0 0 1120 850
16 192 1 0 0 1 10 1130 400
16 193 1 1 1 1 10 1140 816
16 194 1 1 1 1 10 1150 666
16 195 1 1 0 0 10 1160 1516
16 196 1 0 0 1 10 1170 600
16 197 1 1 1 1 10 1180 700
16 198 1 1 1 1 10 1190 983
16 199 1 0 0 1 10 1200 683
16 200 1 1 1 1 10 1210 600
